queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy,manual_review_status,manual_review_url,reviewed_pricing_hint,allowed_review_decisions,manual_review_checklist,review_notes_template
1,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.247webdirectory.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.247webdirectory.com/,unknown,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.247webdirectory.com/. Suggested decision: keep_unknown (low confidence). Signals: payment=no, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
12,offpagesavvy,Offpagesavvy,offpagesavvy.com,assisted,https://www.offpagesavvy.com/submit-your-site,unknown,freemium,mark_freemium,medium,,,,,,https://www.offpagesavvy.com/submit-your-site,yes,200,yes,no,no,yes,no,no,free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://www.offpagesavvy.com/submit-your-site,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes,"Manual browser review checked https://www.offpagesavvy.com/submit-your-site. Suggested decision: mark_freemium (medium confidence). Signals: payment=no, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
13,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,https://poweruptools.com/,unknown,paid,mark_paid,high,,,,,,https://poweruptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://poweruptools.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://poweruptools.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
14,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,https://productlistdir.com/,unknown,paid,mark_paid,high,,,,,,https://productlistdir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://productlistdir.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://productlistdir.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
15,productwing-com,https://productwing.com/,productwing.com,assisted,https://productwing.com/,unknown,paid,mark_paid,high,,,,,,https://productwing.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://productwing.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://productwing.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
16,saasfield-com,https://saasfield.com/,saasfield.com,assisted,https://saasfield.com/,unknown,paid,mark_paid,high,,,,,,https://saasfield.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://saasfield.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://saasfield.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
17,saashubdirectory-com,https://saashubdirectory.com,saashubdirectory.com,assisted,https://saashubdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://saashubdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://saashubdirectory.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://saashubdirectory.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
18,saasroots-com,https://saasroots.com/,saasroots.com,assisted,https://saasroots.com/,unknown,paid,mark_paid,high,,,,,,https://saasroots.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://saasroots.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://saasroots.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
19,smartkithub-com,https://smartkithub.com,smartkithub.com,assisted,https://smartkithub.com/,unknown,paid,mark_paid,high,,,,,,https://smartkithub.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://smartkithub.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://smartkithub.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
20,softwarebolt-com,访问官网,softwarebolt.com,assisted,https://softwarebolt.com/,unknown,paid,mark_paid,high,,,,,,https://softwarebolt.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://softwarebolt.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://softwarebolt.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
21,solvertools-com,🔗 访问我们的网站,solvertools.com,assisted,https://solvertools.com/,unknown,freemium,mark_freemium,medium,,,,,,https://solvertools.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://solvertools.com/,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://solvertools.com/. Suggested decision: mark_freemium (medium confidence). Signals: payment=yes, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
22,sourcedir-com,https://sourcedir.com/,sourcedir.com,assisted,https://sourcedir.com/,unknown,paid,mark_paid,high,,,,,,https://sourcedir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://sourcedir.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://sourcedir.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
23,stackdirectory-com,https://stackdirectory.com/,stackdirectory.com,assisted,https://stackdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://stackdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://stackdirectory.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://stackdirectory.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
24,startupvessel-com,https://startupvessel.com/,startupvessel.com,assisted,https://startupvessel.com/,unknown,paid,mark_paid,high,,,,,,https://startupvessel.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://startupvessel.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://startupvessel.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
25,theapptools-com,https://theapptools.com/,theapptools.com,assisted,https://theapptools.com/,unknown,paid,mark_paid,high,,,,,,https://theapptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://theapptools.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://theapptools.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
26,thecoretools-com,https://thecoretools.com,thecoretools.com,assisted,https://thecoretools.com/,unknown,freemium,mark_freemium,medium,,,,,,https://thecoretools.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://thecoretools.com/,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://thecoretools.com/. Suggested decision: mark_freemium (medium confidence). Signals: payment=yes, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
27,tinytoolhub-com,https://tinytoolhub.com,tinytoolhub.com,assisted,https://tinytoolhub.com/,unknown,freemium,mark_freemium,medium,,,,,,https://tinytoolhub.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://tinytoolhub.com/,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://tinytoolhub.com/. Suggested decision: mark_freemium (medium confidence). Signals: payment=yes, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
28,toolcosmos-com,https://toolcosmos.com,toolcosmos.com,assisted,https://toolcosmos.com/,unknown,freemium,mark_freemium,medium,,,,,,https://toolcosmos.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://toolcosmos.com/,freemium,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://toolcosmos.com/. Suggested decision: mark_freemium (medium confidence). Signals: payment=yes, free=no, freemium=yes, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
29,toolfinddir-com,https://toolfinddir.com,toolfinddir.com,assisted,https://toolfinddir.com/,unknown,paid,mark_paid,high,,,,,,https://toolfinddir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://toolfinddir.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://toolfinddir.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
30,toolsignal-com,https://toolsignal.com/,toolsignal.com,assisted,https://toolsignal.com/,unknown,paid,mark_paid,high,,,,,,https://toolsignal.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission,needs_human_review,https://toolsignal.com/,paid,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,open URL in a normal browser; verify visible directory or submission fit; verify whether a free/basic path exists; verify whether payment is mandatory; verify no CAPTCHA/Cloudflare/OAuth/login is required for auto treatment; record exact evidence in review_notes; payment signal was detected; do not mark free unless a free path is visible,"Manual browser review checked https://toolsignal.com/. Suggested decision: mark_paid (high confidence). Signals: payment=yes, free=no, freemium=no, captcha=no, cloudflare=no. Conclusion: <explain free/freemium/paid/unknown evidence checked>."
