manual_rank,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,manual_bucket,risk_level,recommended_next_step,url,domain,canonical_name,pricing,lang,classification,candidate_import_recommendation,occurrence_count,registry_target_ids,registry_submit_urls,source_files,source_locations,latest_batch_id,evidence_file,suggestion_file,http_status,fetch_ok,final_url,form_count,input_count,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,safety_gate_reason,safety_gate_batch_id,safety_gate_report,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
11,P0,187,78,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://aitools.love/submit,aitools.love,aitools.love,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 24:url; directory-submissions-external-links.md:26,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,200,yes,https://aitools.love/submit,0,0,yes,yes,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found,,,,2026-05-28T04:33:44.345Z,,,,,,,,,,,,,,,0,,
12,P0,187,81,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://www.aitrendytools.com/submit,aitrendytools.com,aitrendytools.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 145:url; directory-submissions-external-links.md:147,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-28T04:33:46.665Z,,,,,,,,,,,,,,,0,,
13,P0,187,115,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://bestofweb.io/submit,bestofweb.io,bestofweb.io,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 36:url; directory-submissions-external-links.md:38,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-28T04:33:48.389Z,,,,,,,,,,,,,,,0,,
14,P0,187,274,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,manual_submit_form_confirmation_required,high_priority_manual,Open manually and record approve/reject decision with notes; approval must remain non-executable needs_scout until scout evidence exists.,https://getbyte.co/submit,getbyte.co,getbyte.co,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 64:url; directory-submissions-external-links.md:66,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,200,yes,https://getbyte.co/submit,0,0,yes,no,no,no,no,no,no,review_manually,needs_manual_check,low,,manual_confirm_submit_form_and_blockers,submit URL/button signal found but evidence is incomplete; evidence: URL path looks like a submission endpoint,,,,2026-05-28T04:33:48.646Z,,,,,,,,,,,,,,,0,,
15,P0,187,332,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://launchvault.com/submit,launchvault.com,launchvault.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 83:url; directory-submissions-external-links.md:85,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-28T04:33:49.891Z,,,,,,,,,,,,,,,0,,
16,P0,187,390,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://www.nocode.mba/tools/submit,nocode.mba,nocode.mba,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 216:url; directory-submissions-external-links.md:218,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-28T04:33:50.787Z,,,,,,,,,,,,,,,0,,
17,P0,187,392,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://www.nocodedevs.com/submit,nocodedevs.com,nocodedevs.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 218:url; directory-submissions-external-links.md:220,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,200,yes,https://www.makerthrive.com/,0,0,no,yes,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; final domain changed to makerthrive.com,,,,2026-05-28T04:34:01.077Z,,,,,,,,,,,,,,,0,,
18,P0,187,393,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://www.nocodefinder.com/submit,nocodefinder.com,nocodefinder.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 219:url; directory-submissions-external-links.md:221,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-28T04:34:05.065Z,,,,,,,,,,,,,,,0,,
19,P0,187,395,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,medium_confidence_requires_human_confirmation,high_priority_manual,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://nocodelist.co/submit,nocodelist.co,nocodelist.co,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 93:url; directory-submissions-external-links.md:95,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,200,yes,https://nocodelist.co/submit,0,0,yes,no,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint,,,,2026-05-28T04:34:15.765Z,,,,,,,,,,,,,,,0,,
20,P0,187,550,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,fetch_failed_cannot_decide,high_priority_manual,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://www.wearenocode.com/submit,wearenocode.com,wearenocode.com,unknown,unknown,missing_domain,review_submit_url,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 259:url; directory-submissions-external-links.md:261,p0-013,p0-013-evidence.csv,p0-013-suggestions.csv,,no,,0,0,yes,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,,,2026-05-28T04:34:22.710Z,,,,,,,,,,,,,,,0,,
21,P2,37,2,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,directory_fit_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://www.1888pressrelease.com/,1888pressrelease.com,1888pressrelease.com,unknown,unknown,missing_domain,needs_manual_review,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 141:url; directory-submissions-external-links.md:143,p2-001,p2-001-evidence.csv,p2-001-suggestions.csv,200,yes,https://www.1888pressrelease.com/,1,1,no,yes,yes,no,no,no,yes,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,,,2026-05-22T08:36:27.868Z,,,,,,,,,,,,,,,0,,
22,P2,37,3,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://www.2findlocal.com/,2findlocal.com,2findlocal.com,unknown,unknown,missing_domain,needs_manual_review,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 142:url; directory-submissions-external-links.md:144,p2-reclass-005,p2-recheck-001-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://www.2findlocal.com/,1,6,no,yes,no,no,yes,no,yes,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 1 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,,,2026-05-22T10:05:15.087Z,,,,,,,,,,,,,,,0,,
23,P2,37,4,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fetch_failed_cannot_decide,unknown_manual_risk,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://www.4shared.com/,4shared.com,4shared.com,unknown,unknown,missing_domain,needs_manual_review,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 143:url; directory-submissions-external-links.md:145,p2-reclass-005,p2-recheck-001-evidence.csv,p2-reclass-005-suggestions.csv,,no,,0,0,no,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,,,2026-05-22T10:05:17.005Z,,,,,,,,,,,,,,,0,,
24,P2,37,5,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fetch_failed_cannot_decide,unknown_manual_risk,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://500px.com/,500px.com,500px.com,unknown,unknown,missing_domain,needs_manual_review,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 3:url; directory-submissions-external-links.md:5,p2-reclass-005,p2-recheck-001-evidence.csv,p2-reclass-005-suggestions.csv,,no,,0,0,no,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,,,2026-05-22T10:05:27.518Z,,,,,,,,,,,,,,,0,,
25,P2,37,56,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fetch_failed_cannot_decide,unknown_manual_risk,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://about.me/,about.me,about.me,unknown,unknown,missing_domain,needs_manual_review,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 4:url; directory-submissions-external-links.md:6,p2-reclass-005,p2-recheck-001-evidence.csv,p2-reclass-005-suggestions.csv,,no,,0,0,no,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,,,2026-05-22T10:05:27.889Z,,,,,,,,,,,,,,,0,,
26,P2,37,59,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fetch_failed_cannot_decide,unknown_manual_risk,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://activerain.com/,activerain.com,activerain.com,unknown,unknown,missing_domain,needs_manual_review,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 5:url; directory-submissions-external-links.md:7,p2-reclass-005,p2-recheck-001-evidence.csv,p2-reclass-005-suggestions.csv,403,no,https://activerain.com/,0,0,no,no,no,no,no,no,no,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,,,2026-05-22T10:05:38.036Z,,,,,,,,,,,,,,,0,,
27,P2,37,71,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://aiforme.wiki/,aiforme.wiki,aiforme.wiki,unknown,unknown,missing_domain,needs_manual_review,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 15:url; directory-submissions-external-links.md:17,p2-reclass-005,p2-recheck-001-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://aiforme.wiki/cgi-sys/suspendedpage.cgi,0,0,no,no,no,no,no,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found,,,,2026-05-22T10:05:39.142Z,,,,,,,,,,,,,,,0,,
28,P2,37,73,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,directory_fit_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://ainavhub.com/,ainavhub.com,ainavhub.com,unknown,unknown,missing_domain,needs_manual_review,2,,,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 17:url; directory-submissions-external-links.md:19,p2-recheck-001,p2-recheck-001-evidence.csv,p2-recheck-001-suggestions.csv,200,yes,https://ainavhub.com/,2,3,no,yes,yes,no,yes,no,no,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,,,2026-05-22T10:05:42.834Z,,,,,,,,,,,,,,,0,,
