"status","title","pricing","price_text","monthly_visits","submission_link","id"
"free","Anyfp","Free","","1000","https://anyfp.com/contact/","14368f41-8f50-8138-be68-e890cfceb02c"
"free","Saas AI Tools","Free","","73000","https://saasaitools.com/submit/","14368f41-8f50-81f6-8f8f-e0647ef17d31"
"free","","Free","","5600","https://tools.robingood.com/","14368f41-8f50-8162-8591-ed3fc5956d5c"
"free","Crazy About Startups","Free","","5K","https://crazyaboutstartups.com/share-your-startup-2","14368f41-8f50-8199-bfec-e7023a115887"
"free","That AI Collection","Free","","34000","https://www.thataicollection.com/submit/","14368f41-8f50-811a-9c22-d5a1097eef55"
"free","AI Tool guru","Free","","27K","https://aitoolguru.com/submit-ai-tool","14368f41-8f50-8175-b41b-ddeffd50b5bf"
"free","Open Future","Free","","496K","https://openfuture.ai/submit-tool","14368f41-8f50-8186-9376-f5a909c802b3"
"free","DEV Resources","Free","","2.7K","https://github.com/marcelscruz/dev-resources","14368f41-8f50-8150-9673-dc0a384a0d8b"
"free","Mars AI directory","Free","","90K","https://www.marsx.dev/ai-startups","14368f41-8f50-81b0-9e07-f2bd301a630b"
"free","ChatGPT demo","Free","","400K","https://chatgptdemo.com/submit-new-ai-tool/","14368f41-8f50-81a6-b859-e654a82859bc"
"free","Saas Po","Free","","69K","https://www.saaspo.com/submit","14368f41-8f50-8133-88a5-f10c28177253"
"free","What the AI","Free","","50000","https://whattheai.tech/submit-a-tool/","14368f41-8f50-81be-90ae-e96343f8e1b7"
"free","Next Gen Tools","Free","","47K","https://nextgentools.me/submit-your-tool","14368f41-8f50-8132-89df-ccd76c8d2ff2"
"free","TipSeason","Free","","30000","https://tipseason.com/ai-tools/submit","14368f41-8f50-8147-9583-d032a3089127"
"free","Gate2AI","Free","","129K","https://www.gate2ai.com/submit-tool","14368f41-8f50-81a0-b841-fb780bb5dff4"
"free","THE NEXT AI TOOL","Free","","","https://thenextaitool.com/","14368f41-8f50-810f-8828-ef0307867beb"
"free","Early Tools","Free","","","https://www.early.tools/submit","14368f41-8f50-8108-a113-e032ad907d80"
"free","Favird","Free","","30000","https://favird.com/","14368f41-8f50-814a-b5f7-e297687e6268"
"free","Dev Pages","Free","","50K","https://www.devpages.io/submit-a-tool","14368f41-8f50-812c-81d1-e67263859e65"
"free","Bestwebsites","Free","","","https://bestwebsites.info/en/submit","14368f41-8f50-8181-8fb3-eda5b75fb43b"
"free","Promptzone","Free","","","https://www.promptzone.com/new","14368f41-8f50-81b2-9b77-f9e38c552c19"
"free","GptDemo.net","Free","","","https://www.gptdemo.net/gpt/add-tool","14368f41-8f50-81a3-85e4-ffa189c4f679"
"free","Startup Stage","Free","","3000","https://startupstage.app/startups/new","14368f41-8f50-81a7-b92c-f3740bef5ac3"
"free","Startups fyi","Free","","13000","https://tally.so/r/3lOGLk","14368f41-8f50-8134-9801-e14801704736"
"free","Educator Tools","Free","","131000","https://docs.google.com/forms/d/e/1FAIpQLSdXXbiHAdQTWUSzLvU6xw-asbIoppIiQo0W9PuZLw2DnkhKew/viewform?usp=send_for","14368f41-8f50-8153-94e5-fa20c25052cf"
"free","AI Valley","Free","","230K","https://aivalley.ai/submit-tool/","14368f41-8f50-8128-9954-e75cfb68531e"
"free","BestOfAI","Free","","1K","https://bestofai.com/tool/add","14368f41-8f50-8134-8d1f-c9be1f353971"
"free","RayDay","Free","","134000","https://raiday.ai/submit-ai-tool/","14368f41-8f50-81d1-9682-f1b2458b6210"
"free","AI Mojo","Free","","","https://aimojo.io/submit/","14368f41-8f50-8128-abfe-fe82f5543e45"
"free","Simple Lister","Free","","","https://simplelister.com/submit","14368f41-8f50-811b-898e-e50758d8c5a9"
"free","Lachief","Free","","266K","https://tally.so/r/w4Jb4b","14368f41-8f50-8147-86ed-cc290457c12c"
"free","Startup Collections","Free","","5000","https://startupcollections.com/submit-product/","14368f41-8f50-8159-a345-d7824d6aa106"
"free","Startup Roulette","Free","","0","https://startuproulette.com/promote-my-startup","14368f41-8f50-81d1-af72-e7943015676d"
"free","Apps and Websites","Free","","<5K","https://landing.mycloudmedia.co.uk/apps-and-websites-submit-ai-or-saas-tool/new-submission.html","14368f41-8f50-8148-9950-c16c40aa6e78"
"free","The AI Library","Free","","19.3K","https://www.theailibrary.co/account/tools/new","14368f41-8f50-81f5-ad6d-fc1e4db8f0a8"
"free","Advanced Innovation","Free","","25K","https://www.advanced-innovation.io/ki-tool-einreichen","14368f41-8f50-813c-80bb-fe747c512c51"
"free","Super Tools","Free","","380k","https://supertools.therundown.ai/submit","14368f41-8f50-8134-bc46-c7fcf494fd89"
"free","BPLDIRECTORY.info","Free","","","https://blpdirectory.info/submit.php?LINK_TYPE=2","14368f41-8f50-8129-84c3-c8aac04d836c"
"free","Micro Launch","Free","","60K","https://tally.so/r/mYaR6N","14368f41-8f50-81c1-a3a0-d71a26d79a29"
"free","Site-Plus","Free","","","https://www.sites-plus.com/submit?c=96&LINK_TYPE=9","14368f41-8f50-8176-90cd-c736318e9986"
"free","ChatGate AI","Free","","<5K","https://chatgate.ai/submit-your-tool/","14368f41-8f50-81cf-ac32-fad86a5b7b04"
"free","Critiqs AI","Free","","2000","https://critiqs.ai/submit-new-ai-tool/","14368f41-8f50-8121-b6eb-ca5f0c078274"
"free","PayOnceApps","Free","","","https://payonceapps.com/add-your-app/","14368f41-8f50-813c-b6e0-cb88d6b21092"
"free","Pay Once Alternatives","Free","","","https://payoncealternatives.com/submit","14368f41-8f50-8170-a949-f4edb4ff800e"
"free","AppRater","Free","","","https://apprater.net/add/","14368f41-8f50-8115-95a6-f3be949b2488"
"free","AI to Grow","Free","","5K","https://aitogrow.com/","14368f41-8f50-81c8-9ad7-f5166657a695"
"free","Tools.so","Free","","N/A","https://tools.so/submit","14368f41-8f50-8174-9261-c263e540b61d"
"free","riseofmachine","Free","","","https://docs.google.com/forms/d/e/1FAIpQLSf_bdfoMR7WkMfqWa4zDfBIFrYhz12lQCBWQHFlZ9UewHhzgg/viewform","14368f41-8f50-819a-bc36-ca8336c2a860"
"free","Gpt Forge","Free","","41K","https://forms.gle/8h1SokDHfcPwkbaZ8","14368f41-8f50-818e-9280-d9b6557d0e08"
"free","AI tools for Marketing","Free","","50k","https://airadar.getinference.com/","14368f41-8f50-811f-9992-c6e38373e562"
"free","Wailworld","Free","","","https://waildworld.com/","14368f41-8f50-81a5-9cdf-d74507627f7b"
"free","Tool Battles","Free","","","https://toolbattles.com/submit-product/","14368f41-8f50-81f5-9568-eecd181b0d41"
"free","Live Apps","Free","","500","https://liveapps.ai/become-a-partner/","14368f41-8f50-816d-965f-fc79ab154190"
"free","AI Marketing","Free","","9.6K","https://aimarketing.directory/submit","14368f41-8f50-81c1-95bf-d7ba0464757e"
"free","NextGenTool","Free","","300","https://nextgentool.io/submit/","14368f41-8f50-818c-a7d9-d85cd62b2c86"
"free","AI Depot","Free","","30K","https://aidepot.co/","14368f41-8f50-81ea-8efa-ff082b149a7c"
"free","The ai Generation","Free","","77K","https://www.theaigeneration.com/add/","14368f41-8f50-81e3-b11b-c1417a5e208d"
"free","Nextpedia","Free","","8000","https://www.nextpedia.io/submit-tool/","14368f41-8f50-8188-8386-cb955f98bed1"
"free","AI Tools Hunter","Free","","25K","https://ai-hunter.io/submit-ai-tool/","14368f41-8f50-8110-a99b-cdc5230ee609"
"free","AI Directory","Free","","5.7K","https://www.aidirectory.org/user-submit/","14368f41-8f50-81fd-b5cd-e96b7fb57bbd"
"free","The Hack Stack","Free","","5000","https://thehackstack.com/","14368f41-8f50-812b-be56-f6fdf7a78a79"
"free","AI Tool Net","Free","","21K","https://www.aitoolnet.com/submit","14368f41-8f50-81ae-9d80-cf79bc8c28f0"
"free","AI tools directory","Free","","25K","https://aitoolsdirectory.com/submit-tool","14368f41-8f50-8144-ab73-f893b3f0f59f"
"free","ToolScout","Free","","23K","https://toolscout.ai/submit","14368f41-8f50-81a4-80a9-cae5669ff83f"
"free","Faind AI","Free","","5K","https://faind.ai/submit-a-tool/","14368f41-8f50-814f-a963-ecdb4a3488d1"
"free","Best AI Tools","Free","","900","https://www.startupaitools.com/submit-ai-tools/","14368f41-8f50-81be-8e0a-c74729e5d2e3"
"free","Tools AI Online","Free","","67K","https://www.tools-ai.online/tool-submit","14368f41-8f50-81fa-80e8-d83177b68f5b"
"free","AI Tools Arena","Free","","700","https://aitoolsarena.com/","14368f41-8f50-8171-a0c4-e79bbf1bb056"
"free","AI Top Rank","Free","","5k","https://www.aitoprank.com/","14368f41-8f50-819a-aadd-ce9e6747cf5b"
"free","Tool AI","Free","","75000","https://toolai.io/Login?ReturnUrl=%2Fen%2Fsubmit%3Fref%3Daidirectories","14368f41-8f50-81fc-a126-ec7c2674c989"
"free","Every AI","Free","","100","https://every-ai.com/submit-tool/","14368f41-8f50-8196-87c0-c1882b2dd8d5"
"free","Look AI Tools","Free","","130","https://lookaitools.com/submission-service/","14368f41-8f50-818a-ac9a-e1f08844343d"
"free","Orbic AI","Free","","100","https://orbic.ai/login?callbackUrl=https%3A%2F%2Forbic.ai%2Fsubmit%2Ftools","14368f41-8f50-8120-84c7-cb8a31b43646"
"free","T","Free","","20k","https://trackbes.com/submit-tool","14368f41-8f50-811b-a845-d49518ea56b2"
"free","Future AGI tools","Free","","5K","https://www.futureagitools.com/submit-a-site","14368f41-8f50-810e-ad85-efab5fe9cdf6"
"free","H","Free","","10K","https://www.humanornot.co/submit-tool","14368f41-8f50-818e-8a7e-f79d500b1e4d"
"free","MicroStartups","Free","","","https://www.microstartups.co/list-your-startup","14368f41-8f50-811b-9b57-db22ff560f80"
"free","SaasBaba","Free","","9.0K","https://saasbaba.com/add-ai-tool/","14368f41-8f50-8159-b5f9-d4e534791e63"
"free","Invent List","Free","","200","https://inventlist.com/sites/new","14368f41-8f50-81b0-a589-daab305e6fc7"
"free","AI Tools Up","Free","","700","https://aitoolsup.com/submit-tool/","14368f41-8f50-8102-b041-df9c8a7ad69c"
"free","I","Free","","100","https://intersys.ai/submit","14368f41-8f50-8145-9f45-d27216253ab3"
"free","Tool Summary","Free","","100","https://toolsummary.com/submit-ai-tool/","14368f41-8f50-8124-8114-e6a97c972b72"
"free","Sick Tools","Free","","100","https://tally.so/r/wvY09d","14368f41-8f50-8196-b277-c6d37c70ee64"
"paid","BasedTools","Paid","$59.00","22000","https://buy.stripe.com/5kA2ax0aD7b93bG3cc","14368f41-8f50-81d6-8a56-fb63196852ef"
"paid","AppSumo","Paid","","3.3M","https://appsumo.com/","14368f41-8f50-81e7-a10c-c200cbe273b0"
"paid","There is an AI for that","Paid","$347","3.2M","https://theresanaiforthat.com/get-featured/","14368f41-8f50-8134-897c-de54c0149834"
"paid","Whatsthebigdata","Paid","Basic Listing $299,","2.7M","https://whatsthebigdata.com/submit-new-ai-tool/","14368f41-8f50-810b-8599-e579517beb38"
"paid","Serchen","Paid","$9.99","129000","https://www.serchen.com/","14368f41-8f50-8194-8c44-fbfaa489e135"
"paid","Startup Stash","Paid","$199/year and $399/year","370K","https://startupstash.com/add-listing/","14368f41-8f50-817d-8550-f62ca7a7b5a9"
"paid","Toolify.ai","Paid","$ 99","340K","https://www.toolify.ai/login?from=%2Fsubmit","14368f41-8f50-81e7-9a05-e5931217c50a"
"paid","All Top Startups","Paid","$29","70K","https://alltopstartups.com/submit-startup/","14368f41-8f50-811a-adf1-d890e47c0766"
"paid","Futurepedia","Paid","","5.0M","https://www.futurepedia.io/basic","14368f41-8f50-8144-8316-c488631f8392"
"paid","eBool","Paid","$59","25K","https://www.ebool.com/submit","14368f41-8f50-81b1-920f-e1739d7a3e0a"
"paid","Dang AI","Paid","","32K","https://dang.ai/","14368f41-8f50-81fe-853f-d109d4372eb5"
"paid","Top AI tools","Paid","Fast Track $45,","2M","https://topai.tools/submit?aff=8Mjlz","14368f41-8f50-811a-9960-faa21754e40e"
"paid","Tekpon","Paid","","134K","https://tekpon.com/get-listed/","14368f41-8f50-8151-b105-dbf0483cb797"
"paid","Easy with AI","Paid","$79.99","922k","https://easywithai.com/submit-tool/","14368f41-8f50-8141-a85b-e4e30f6afab6"
"paid","Dev Hunt","Paid","","65K","https://devhunt.org/account/tools/new","14368f41-8f50-8159-8ae0-d139d0df866d"
"paid","T","Paid","","4K","https://tooldirectory.ai/submit-tool","14368f41-8f50-8134-9176-d4bd63bee186"
"paid","AI top tools","Paid","$69","260K","https://aitoptools.com/","14368f41-8f50-816a-8b23-fc1de58ccf7b"
"paid","Appscriber","Paid","Get Featured Traffic Forever $49,","42100","https://appscribed.com/product-list/","14368f41-8f50-81ac-9d14-d9ae9a04d2d3"
"paid","Uneed Best","Paid","$30","252K","https://www.uneed.best/promote-your-tool?aff=8Mjlz","14368f41-8f50-81c9-8783-cb90897c1005"
"paid","aitools.fyi","Paid","$ 30","500K","https://aitools.fyi/submit","14368f41-8f50-81c1-99e6-fecd8ffb513b"
"paid","Find My AI Tool","Paid","Basic Plan List Your Tool $79.99,","69000","https://findmyaitool.com/submit-tool","14368f41-8f50-81c6-bd8c-c396f75c390a"
"paid","Ben’s Bites News","Paid","","N/A","https://news.bensbites.co/","14368f41-8f50-81f2-863a-e49830679027"
"paid","Toolio AI","Paid","$ 9.99","23000","https://toolio.ai/submit-a-tool","14368f41-8f50-8117-805b-f52e765c8d37"
"paid","Startup Pitch","Paid","Pro Startup £40.00, Startup £20.00, Hobby Startup £4","<5K","https://thestartuppitch.com/post-a-pitch/","14368f41-8f50-8194-ae5a-ebae4c747941"
"paid","Aixploria","Paid","Fast Listing $79,","584K","https://www.aixploria.com/en/add-ai/","14368f41-8f50-818f-8161-ece20fcde697"
"paid","AI tool hunt","Paid","$25","80K","https://www.aitoolhunt.com/addTool","14368f41-8f50-8111-a4bf-f80a339ff6f6"
"paid","AI scout","Paid","Submit Listing $50,","100","https://aiscout.net/submit-listing/details/","14368f41-8f50-81c3-98f7-ec3f6b06d963"
"paid","AI Center","Paid","$5, $25, $49","5K","https://aicenter.ai/products/submit","14368f41-8f50-81ee-8e41-e0649187881e"
"paid","Victrays","Paid","Listing $9, Premium Listing $24.94, Premium Listing + Promotion $497","5K","https://victrays.com/submit-tool/","14368f41-8f50-8106-be1c-ce502af1fab2"
"paid","AI Search","Paid","$99","4K","https://ai-search.io/submit","14368f41-8f50-811f-8389-e6d4f35d7258"
"paid","Altern AI","Paid","","180000","https://altern.ai/dash/submit","14368f41-8f50-8176-ae85-cce9fb312c7c"
"paid","Post Make","Paid","$49","10K","https://postmake.io/submit","14368f41-8f50-8159-bbfc-f60e5295d351"
"paid","Fazier","Paid","Get featured in newsletter - $19","36K","https://fazier.com/","14368f41-8f50-8192-820e-ff5a653d1f13"
"paid","AppsHunter","Paid","A priority review : $ 29, Network Review ( Unique Review in 10 Websites ) : $249","5K","https://appsthunder.com/submit-your-app/","14368f41-8f50-816f-9b3b-f4d656814db7"
"paid","Apps Hunter","Paid","A priority review : $ 29, Network Review ( Unique Review in 10 Websites ) : $249","5k","https://appsthunder.com/submit-your-app/","14368f41-8f50-816b-a02c-f76466affdef"
"paid","1000tools","Paid","$1 $5.99/month, $59.99 $69.99/year","10K","https://1000.tools/my/tools/create","14368f41-8f50-81d7-93b2-c956fef198ed"
"paid","Ankore","Paid","","1500","https://ankore.io/submit/","14368f41-8f50-814a-bc1b-f328e1cf8636"
"paid","DoMore","Paid","Pro Listing (lifetime) : $30, Pro Listing (lifetime) + Boost (14 days) : $70","45K","https://domore.ai/submit-tool","14368f41-8f50-816a-a051-eb7b13dc17c7"
"paid","Open Tools","Paid","$97","91K","https://opentools.ai/","14368f41-8f50-81ef-877a-f172939d45bd"
"paid","AI Lib","Paid","","119K","https://ailib.ru/","14368f41-8f50-81d0-b0ad-fa1b550b762b"
"paid","Joinly","Paid","Basic $2.99,","5000","https://www.joinly.xyz/submit-startup","14368f41-8f50-8113-b924-ca32a3adb9e8"
"paid","SaaS Surf","Paid","$9 per month, $29 per month, $99 per month","31K","https://saassurf.com/submit-a-product","14368f41-8f50-818d-a6d1-f53ae537198e"
"paid","JOINLY","Paid","","","https://joinly.xyz/submit-startup","14368f41-8f50-81cd-9221-d7bb4545f807"
"paid","FunFun Tools","Paid","Summer Discount","45K","https://www.funfun.tools/submit-tool","14368f41-8f50-813e-ab77-fade5a7d1109"
"paid","Toolspedia","Paid","$59 USD","26000","https://www.toolspedia.io/submit-tool/","14368f41-8f50-81da-a189-fab55d3b64c4"
"paid","Unloc.tools","Paid","","1K","https://www.unloc.tools/submit-tool","14368f41-8f50-8108-b398-f7c750c4b7c8"
"paid","AI Tool Board","Paid","Standard $75,","7K","https://aitoolboard.com/submit-ai-tool","14368f41-8f50-8184-9cd8-ec2814704d4a"
"paid","AI Dude Info","Paid","$19.99","84.7K","https://aidude.info/submit-your-tool","14368f41-8f50-8130-90f1-f6135bfc3f3f"
"paid","Drop Your AI","Paid","","6800","https://www.dropyourai.com/submit-tool/","14368f41-8f50-8152-a358-c45dcfcdc7f7"
"paid","AI trendz","Paid","29,99 €","90","https://aitrendz.xyz/submit-ai-link/","14368f41-8f50-8117-acf0-fd4bd469931a"
"paid","AI Wizard","Paid","€100, €500","5K","https://www.aiwizard.ai/submit","14368f41-8f50-8149-b31a-e2baea804ce7"
"paid","AI Stash","Paid","$29","15K","https://www.aistash.co/submit-tool","14368f41-8f50-8130-a99c-e8e471524193"
"paid","Buffer Apps","Paid","","<5K","https://www.bufferapps.com/beta-listing/new","14368f41-8f50-815a-84e0-f225f200bf40"
"paid","Tool Battles","Paid","","NA","https://toolbattles.com/submit-product/","14368f41-8f50-8119-9593-cd49b9c61b39"
"paid","The AI Warehouse","Paid","Standard Package: $450.00, Plus Package: $650.00, Premium Package: $750.00","6000","https://inside.thewarehouse.ai/submissions","14368f41-8f50-811b-8ba0-f254ed9efd91"
"paid","Warehouse AI","Paid","Standard Package: $450.00, Plus Package: $650.00, Premium Package: $750.00","15K","https://www.thewarehouse.ai/product-submission","14368f41-8f50-81a5-9d9e-e9e235daff41"
"paid","Disrupt 500","Paid","","","https://www.disrupt500.com/submit-your-tool/","14368f41-8f50-81b3-99c1-c9314a53a156"
"paid","Tools Nocode","Paid","","5K","https://www.toolsnocode.com/ai","14368f41-8f50-81ff-b16b-e2a251fb5259"
"paid","GPT Academy","Paid","$7.99","24K","https://www.gptacademy.co/submit","14368f41-8f50-8154-b6d0-d9fd0af5a887"
"paid","Easy Save AI","Paid","€ 14,99","245","https://easysaveai.com/submit-your-ai-tool/","14368f41-8f50-81c8-807d-f799f3586547"
"paid","Under1000MRR.tools","Paid","€2.99 one-time payment","500","https://under1000mrr.tools/login","14368f41-8f50-812d-9d6e-d2b388b8c51e"
"paid","1payment Tools","Paid","$1","1K","https://1payment.tools/login","14368f41-8f50-8146-8024-e0dd5d6f59a7"
"paid","MadGenius","Paid","$69.99 USD","5000","https://madgenius.co/submit","14368f41-8f50-815a-8f41-cd77c654764d"
"paid","Find Cool Tools","Paid","$1.99 /month, $19.99 /year","2300","https://findcool.tools/submit-tool","14368f41-8f50-8123-9081-de961ef7fae8"
"paid","AI Top Picks","Paid","$49.99","5800","https://www.aitoppicks.com/","14368f41-8f50-8164-a070-c7c8cac0f19b"
"paid","100 AI Apps","Paid","Annual: $34.99, Monthly: $3.99","1k","https://100apps.org/","14368f41-8f50-81da-bc73-f3ef3ac202f5"
"paid","One Hub AI","Paid","","4600","https://www.onehubai.com/","14368f41-8f50-81ef-bf9f-d6bf8786b267"
"paid","Free AI Apps","Paid","","400","https://freeappsai.com/add/","14368f41-8f50-8151-99cf-dfa73aaa6ab6"
"paid","1000gpt.shop","Paid","$0.99 per month","1K","https://buy.stripe.com/dR6eVi1lRgj9bsY4gg","14368f41-8f50-8113-8b44-d87d88b0092f"
