batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p0-013,19,395,P0,verify_submit_form_then_approve_or_reject,https://nocodelist.co/submit,nocodelist.co,,approved | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:395,200,yes,https://nocodelist.co/submit,nocodelist.co,0,0,no,yes,no,no,no,yes,no,no,no,,2026-05-28T04:34:15.765Z,,,,,,,,,,,,,,,0,,
p0-013,20,415,P0,verify_submit_form_then_approve_or_reject,https://peerpush.net/submit,peerpush.net,,approved | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:415,200,yes,https://peerpush.net/auth/login?redirectTo=/submit,peerpush.net,1,2,yes,yes,yes,yes,yes,yes,yes,yes,no,,2026-05-28T04:34:17.332Z,,,,,,,,,,,,,,,0,,
p0-013,21,550,P0,verify_submit_form_then_approve_or_reject,https://www.wearenocode.com/submit,wearenocode.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:550,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:34:22.710Z,,,,,,,,,,,,,,,0,,
p0-013,22,106,P0,verify_submit_form_then_approve_or_reject,https://bai.tools/submit,bai.tools,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 404,,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:106,404,no,https://bai.tools/submit,bai.tools,0,0,no,yes,yes,no,no,yes,yes,no,no,HTTP 404,2026-05-28T04:34:32.839Z,,,,,,,,,,,,,,,0,,
p0-013,23,481,P0,verify_submit_form_then_approve_or_reject,http://www.sixwordstories.net/2009/07/submit-a-story/comment-page-188,sixwordstories.net,,approved | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:481,200,yes,http://www.sixwordstories.net/2009/07/submit-a-story/comment-page-188/,sixwordstories.net,2,11,yes,yes,yes,no,no,no,no,yes,no,,2026-05-28T04:34:34.504Z,,,,,,,,,,,,,,,0,,
p0-013,24,176,P0,verify_submit_form_then_approve_or_reject,https://www.capterra.com/vendors,capterra.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:176,403,no,https://www.capterra.com/vendors,capterra.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:34:37.437Z,,,,,,,,,,,,,,,0,,
p0-013,25,200,P0,verify_submit_form_then_approve_or_reject,https://crozdesk.com/vendors,crozdesk.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: Cloudflare/human verification signal found; HTTP 404,,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:200,404,no,https://crozdesk.com/vendors,crozdesk.com,0,0,no,no,no,no,no,no,yes,no,no,HTTP 404,2026-05-28T04:34:38.557Z,,,,,,,,,,,,,,,0,,
p0-013,26,273,P0,verify_submit_form_then_approve_or_reject,https://www.getapp.com/vendors,getapp.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:273,403,no,https://www.getapp.com/vendors,getapp.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:34:42.302Z,,,,,,,,,,,,,,,0,,
p0-013,27,488,P0,verify_submit_form_then_approve_or_reject,https://www.softwareadvice.com/vendors,softwareadvice.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:488,403,no,https://www.softwareadvice.com/vendors,softwareadvice.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:34:44.536Z,,,,,,,,,,,,,,,0,,
p0-013,28,541,P0,verify_submit_form_then_approve_or_reject,https://www.trustradius.com/vendors,trustradius.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:541,403,no,https://www.trustradius.com/vendors,trustradius.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:34:46.249Z,,,,,,,,,,,,,,,0,,
