batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p0-001,1,P0,337,75,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aiscout.net,unknown,unknown,domain_in_registry_only,review_submit_url,https://aiscout.net/submit,aiscout.net,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 20:url; directory-submissions-external-links.md:22,ai-scout; ai-scout-aiscout-net-submit-listing-details,https://aiscout.net/; https://aiscout.net/submit-listing/details
p0-001,12,P0,337,536,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 403; same-domain variant must not use generic approved,read_only_evidence,,toolify.ai,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.toolify.ai/submit,toolify.ai,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 255:url; directory-submissions-external-links.md:257,toolify-ai,https://www.toolify.ai/login?from=%2Fsubmit
p0-001,13,P0,337,539,reject_paid,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,topai.tools,paid,unknown,domain_in_registry_only,review_submit_url,https://topai.tools/submit,topai.tools,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 132:url; directory-submissions-external-links.md:134,top-ai-tools,https://topai.tools/submit?aff=8Mjlz
p0-001,14,P0,326,250,reject_duplicate,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; normalized URL duplicates an existing registry submit URL; evidence: normalized URL duplicates registry submit URL; payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved,read_only_evidence,,findmyaitool.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://findmyaitool.com/submit,findmyaitool.com,1,repo-external-links.csv,repo-external-links.csv:row 161:url,find-my-ai-tool,https://findmyaitool.com/submit-tool
p0-001,15,P0,326,537,reject_not_submit,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 404; same-domain variant must not use generic approved",read_only_evidence,,toolpilot.ai,unknown,unknown,domain_in_registry_only,review_submit_url,https://toolpilot.ai/submit,toolpilot.ai,1,repo-external-links.csv,repo-external-links.csv:row 306:url,toolpilot,https://www.toolpilot.ai/pages/submit-your-ai-tool
p0-001,16,P0,289,277,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 5 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/,github.com,4,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json; directory-submissions-external-links.csv; directory-submissions-external-links.md,91wink-seo-resource-directory-domains.json:json:[57].domain; 91wink-seo-resource-directory.json:json:results[46].externalLinks[1].domain; directory-submissions-external-links.csv:row 66:url; directory-submissions-external-links.md:68,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues
p0-001,17,P0,287,60,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; 1 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,activesearchresults.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.activesearchresults.com/,activesearchresults.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 144:url; directory-submissions-external-links.md:146,asr,https://www.activesearchresults.com/addwebsite.php
p0-001,18,P0,287,74,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,airtable.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://airtable.com/marketplace,airtable.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 19:url; directory-submissions-external-links.md:21,openalternative,https://airtable.com/appcN6nvv5iyo3x/pagzZyGl6fEI2RWDq/form
p0-001,19,P0,287,86,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403; same-domain variant must not use generic approved,read_only_evidence,,alternativeto.net,unknown,unknown,domain_in_registry_only,review_submit_url,https://alternativeto.net/software/_/add,alternativeto.net,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 30:url; directory-submissions-external-links.md:32,alternativeto; alternativeto-alternativeto-net-manage-item,https://alternativeto.net/faq; https://alternativeto.net/manage-item
p0-001,20,P0,287,87,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,andyroamer.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://andyroamer.com/,andyroamer.com,2,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[51].domain; 91wink-seo-resource-directory.json:json:results[44].externalLinks[0].domain,andyroamer-com-seo-link-building-backlinks-list,https://andyroamer.com/seo/link-building/backlinks-list
p0-001,21,P0,287,167,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,business-software.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.business-software.com/,business-software.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 162:url; directory-submissions-external-links.md:164,business-software-com,https://www.business-software.com/add-your-product
p0-001,22,P0,287,231,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved,read_only_evidence,,every-ai.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://every-ai.com/,every-ai.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 57:url; directory-submissions-external-links.md:59,every-ai,https://every-ai.com/submit-tool
p0-001,23,P0,287,240,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 405; same-domain variant must not use generic approved,read_only_evidence,,f6s.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.f6s.com/company/create,f6s.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 179:url; directory-submissions-external-links.md:181,f6s,https://www.f6s.com/
p0-001,24,P0,287,260,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; 2 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,fivetaco.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://fivetaco.com/,fivetaco.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 62:url; directory-submissions-external-links.md:64,fivetaco,https://fivetaco.com/submit
p0-001,25,P0,287,279,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; 3 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/modelcontextprotocol/registry,github.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 67:url; directory-submissions-external-links.md:69,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues
