batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-001,1,2,P2,verify_directory_fit_before_any_approval,https://www.1888pressrelease.com/,1888pressrelease.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:2,200,yes,https://www.1888pressrelease.com/,1888pressrelease.com,1,1,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:36:27.868Z
p2-001,19,100,P2,verify_directory_fit_before_any_approval,https://www.artstation.com/,artstation.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:100,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:37:29.910Z
p2-001,20,101,P2,verify_directory_fit_before_any_approval,https://www.athlinks.com/,athlinks.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:101,200,yes,https://www.athlinks.com/,athlinks.com,0,0,no,no,no,no,no,yes,yes,no,no,,2026-05-22T08:37:39.914Z
p2-001,21,103,P2,verify_directory_fit_before_any_approval,https://www.authorstream.com/,authorstream.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:103,200,yes,https://www.authorstream.com/,authorstream.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-22T08:37:42.207Z
p2-001,22,105,P2,verify_directory_fit_before_any_approval,https://bai.tools/,bai.tools,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:105,200,yes,https://bai.tools/,bai.tools,1,2,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:37:43.864Z
p2-001,23,111,P2,verify_directory_fit_before_any_approval,https://bandcamp.com/,bandcamp.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:111,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:37:45.723Z
p2-001,24,114,P2,verify_directory_fit_before_any_approval,https://www.behance.net/,behance.net,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:114,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:37:46.477Z
p2-001,25,116,P2,verify_directory_fit_before_any_approval,https://betabound.com/,betabound.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 2 form(s), 22 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:116,200,yes,https://betabound.com/,betabound.com,2,22,yes,no,yes,yes,no,yes,no,no,no,,2026-05-22T08:37:56.479Z
p2-001,26,122,P2,verify_directory_fit_before_any_approval,https://www.bibsonomy.org/,bibsonomy.org,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:122,200,yes,https://www.bibsonomy.org/pow-challenge/?return=%2F,bibsonomy.org,0,0,no,no,no,no,no,no,no,no,no,,2026-05-22T08:37:58.368Z
p2-001,27,124,P2,verify_directory_fit_before_any_approval,https://bitbucket.org/,bitbucket.org,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:124,200,yes,https://bitbucket.org/,bitbucket.org,2,5,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:38:00.946Z
p2-001,28,125,P2,verify_directory_fit_before_any_approval,https://www.bizcommunity.com/,bizcommunity.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:125,403,no,https://www.bizcommunity.com/,bizcommunity.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:38:02.215Z
p2-001,29,126,P2,verify_directory_fit_before_any_approval,https://www.bizsugar.com/,bizsugar.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 3 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:126,200,yes,https://bizsugar.com/,bizsugar.com,3,3,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T08:38:03.750Z
p2-001,30,127,P2,verify_directory_fit_before_any_approval,https://www.blackhatworld.com/,blackhatworld.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:127,403,no,https://www.blackhatworld.com/,blackhatworld.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:38:10.121Z
p2-001,31,142,P2,verify_directory_fit_before_any_approval,https://www.blogarama.com/,blogarama.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:142,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:38:11.657Z
p2-001,32,143,P2,verify_directory_fit_before_any_approval,https://www.blogengage.com/,blogengage.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:143,403,no,https://www.blogengage.com/,blogengage.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:38:21.662Z
p2-001,33,146,P2,verify_directory_fit_before_any_approval,https://www.blogger.com/,blogger.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:146,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:38:22.808Z
p2-001,34,162,P2,verify_directory_fit_before_any_approval,https://www.brownbook.net/,brownbook.net,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:162,403,no,https://www.brownbook.net/,brownbook.net,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:38:32.820Z
p2-001,35,165,P2,verify_directory_fit_before_any_approval,https://buildvoyage.com/,buildvoyage.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:165,200,yes,https://buildvoyage.com/,buildvoyage.com,0,0,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:38:34.636Z
p2-001,36,166,P2,verify_directory_fit_before_any_approval,https://www.buildzoom.com/,buildzoom.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:166,403,no,https://www.buildzoom.com/,buildzoom.com,0,0,no,no,no,no,no,no,yes,no,no,HTTP 403,2026-05-22T08:38:37.465Z
p2-001,37,168,P2,verify_directory_fit_before_any_approval,https://business.foursquare.com/,business.foursquare.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:168,200,yes,https://business.foursquare.com/,business.foursquare.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-22T08:38:39.140Z
p2-001,38,169,P2,verify_directory_fit_before_any_approval,https://businesshunt.co/,businesshunt.co,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:169,200,yes,https://businesshunt.co/,businesshunt.co,0,0,no,no,no,no,no,yes,no,no,no,,2026-05-22T08:38:41.147Z
p2-001,39,170,P2,verify_directory_fit_before_any_approval,https://www.buymeacoffee.com/,buymeacoffee.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:170,200,yes,https://buymeacoffee.com/,buymeacoffee.com,0,0,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:38:42.826Z
p2-001,40,172,P2,verify_directory_fit_before_any_approval,https://www.cabinetm.com/,cabinetm.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:172,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:38:44.702Z
p2-001,41,173,P2,verify_directory_fit_before_any_approval,https://www.calameo.com/,calameo.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:173,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:38:54.705Z
p2-001,42,182,P2,verify_directory_fit_before_any_approval,https://www.chamberofcommerce.com/,chamberofcommerce.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:182,200,yes,https://www.chamberofcommerce.com/,chamberofcommerce.com,3,8,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:39:04.711Z
p2-001,43,188,P2,verify_directory_fit_before_any_approval,https://citysquares.com/,citysquares.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:188,200,yes,https://citysquares.com/,citysquares.com,1,3,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:39:06.603Z
p2-001,44,191,P2,verify_directory_fit_before_any_approval,https://codepen.io/,codepen.io,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:191,403,no,https://codepen.io/,codepen.io,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:39:08.754Z
p2-001,45,192,P2,verify_directory_fit_before_any_approval,https://www.codeproject.com/,codeproject.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:192,200,yes,https://www.codeproject.com/,codeproject.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-22T08:39:13.013Z
p2-001,46,193,P2,verify_directory_fit_before_any_approval,https://coldemailkit.com/,coldemailkit.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:193,200,yes,https://coldemailkit.com/,coldemailkit.com,2,7,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:39:14.475Z
p2-001,47,199,P2,verify_directory_fit_before_any_approval,https://crevado.com/,crevado.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: login/register signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:199,200,yes,https://crevado.com/,crevado.com,0,0,no,no,yes,yes,no,no,no,no,no,,2026-05-22T08:39:16.096Z
p2-001,48,201,P2,verify_directory_fit_before_any_approval,https://www.curated.design/,curated.design,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; final domain changed to craftwork.design,,login/register or OAuth signal found,yes,review_row:201,200,yes,https://craftwork.design/curated/websites/,craftwork.design,0,0,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:39:17.517Z
p2-001,49,202,P2,verify_directory_fit_before_any_approval,https://www.cuspera.com/,cuspera.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:202,200,yes,https://www.cuspera.com/,cuspera.com,0,2,yes,no,yes,no,no,yes,yes,no,no,,2026-05-22T08:39:23.685Z
p2-001,50,205,P2,verify_directory_fit_before_any_approval,https://www.cylex.us.com/,cylex.us.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:205,403,no,https://www.cylex.us.com/,cylex.us.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:39:25.206Z
