batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p2-008,1,3,P2,verify_directory_fit_before_any_approval,https://www.2findlocal.com/,2findlocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:3,200,yes,https://www.2findlocal.com/,2findlocal.com,1,6,yes,no,yes,no,no,yes,yes,yes,no,,2026-05-28T05:06:49.902Z,,,,,,,,,,,,,,,0,,
p2-008,23,224,P2,verify_directory_fit_before_any_approval,https://ecosystem.hubspot.com/marketplace,ecosystem.hubspot.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:224,200,yes,https://ecosystem.hubspot.com/marketplace,ecosystem.hubspot.com,0,0,no,no,yes,no,no,no,yes,no,no,,2026-05-28T05:09:10.406Z,,,,,,,,,,,,,,,0,,
p2-008,24,227,P2,verify_directory_fit_before_any_approval,https://www.etsy.com/,etsy.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:227,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:09:12.277Z,,,,,,,,,,,,,,,0,,
p2-008,25,228,P2,verify_directory_fit_before_any_approval,https://www.eu-business.com/,eu-business.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:228,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:09:22.786Z,,,,,,,,,,,,,,,0,,
p2-008,26,230,P2,verify_directory_fit_before_any_approval,https://evernote.com/,evernote.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:230,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:09:23.558Z,,,,,,,,,,,,,,,0,,
p2-008,27,238,P2,verify_directory_fit_before_any_approval,https://ezinearticles.com/,ezinearticles.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:238,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:09:33.826Z,,,,,,,,,,,,,,,0,,
p2-008,28,251,P2,verify_directory_fit_before_any_approval,https://www.finduslocal.com/,finduslocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:251,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:09:35.743Z,,,,,,,,,,,,,,,0,,
p2-008,29,261,P2,verify_directory_fit_before_any_approval,https://www.flickr.com/,flickr.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:261,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:09:45.851Z,,,,,,,,,,,,,,,0,,
p2-008,30,286,P2,verify_directory_fit_before_any_approval,https://gitlab.com/,gitlab.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:286,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:09:56.374Z,,,,,,,,,,,,,,,0,,
p2-008,31,288,P2,verify_directory_fit_before_any_approval,https://glama.ai/mcp/servers,glama.ai,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,medium,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found; evidence: payment/pricing signal found; directory/listing marketplace text signal found",,"no submit path, submit button, or form signal found",yes,review_row:288,200,yes,https://glama.ai/mcp/servers,glama.ai,0,1,no,no,yes,no,no,no,no,yes,no,,2026-05-28T05:10:07.736Z,,,,,,,,,,,,,,,0,,
p2-008,32,293,P2,verify_directory_fit_before_any_approval,https://gptforge.net/,gptforge.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:293,200,yes,https://gptforge.net/,gptforge.net,0,0,no,no,no,no,no,no,yes,no,no,,2026-05-28T05:10:09.703Z,,,,,,,,,,,,,,,0,,
p2-008,33,295,P2,verify_directory_fit_before_any_approval,https://gravatar.com/,gravatar.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:295,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:10:17.498Z,,,,,,,,,,,,,,,0,,
p2-008,34,297,P2,verify_directory_fit_before_any_approval,https://growthhackers.com/,growthhackers.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:297,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:10:28.015Z,,,,,,,,,,,,,,,0,,
p2-008,35,303,P2,verify_directory_fit_before_any_approval,https://www.hg.org/,hg.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:303,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:10:38.609Z,,,,,,,,,,,,,,,0,,
p2-008,36,305,P2,verify_directory_fit_before_any_approval,https://www.hotfrog.com/,hotfrog.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:305,403,no,https://www.hotfrog.com/,hotfrog.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T05:10:39.292Z,,,,,,,,,,,,,,,0,,
p2-008,37,306,P2,verify_directory_fit_before_any_approval,https://www.houzz.com/,houzz.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; HTTP 403,,login/register or OAuth signal found,yes,review_row:306,403,no,https://www.houzz.com/,houzz.com,0,0,no,no,no,yes,no,yes,no,no,no,HTTP 403,2026-05-28T05:10:41.336Z,,,,,,,,,,,,,,,0,,
p2-008,38,307,P2,verify_directory_fit_before_any_approval,https://hubpages.com/,hubpages.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; final domain changed to discover.hubpages.com; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:307,403,no,https://discover.hubpages.com/,discover.hubpages.com,0,0,no,no,no,no,no,yes,no,no,no,HTTP 403,2026-05-28T05:10:42.384Z,,,,,,,,,,,,,,,0,,
p2-008,39,308,P2,verify_directory_fit_before_any_approval,https://www.ibegin.com/,ibegin.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; Cloudflare/human verification signal found; 3 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:308,200,yes,https://www.ibegin.com/,ibegin.com,3,10,yes,no,yes,yes,no,no,yes,no,no,,2026-05-28T05:10:45.384Z,,,,,,,,,,,,,,,0,,
p2-008,40,309,P2,verify_directory_fit_before_any_approval,https://www.ibuildnew.com.au/,ibuildnew.com.au,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:309,200,yes,https://www.ibuildnew.com.au/,ibuildnew.com.au,0,3,no,no,no,no,no,yes,no,yes,no,,2026-05-28T05:10:46.678Z,,,,,,,,,,,,,,,0,,
p2-008,41,310,P2,verify_directory_fit_before_any_approval,https://imgur.com/,imgur.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:310,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:10:48.319Z,,,,,,,,,,,,,,,0,,
p2-008,42,311,P2,verify_directory_fit_before_any_approval,https://inc42.com/,inc42.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 23 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:311,200,yes,https://inc42.com/,inc42.com,2,23,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T05:10:58.842Z,,,,,,,,,,,,,,,0,,
p2-008,43,312,P2,verify_directory_fit_before_any_approval,https://www.indiamart.com/,indiamart.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 429; evidence: HTTP 429,,HTTP 429,yes,review_row:312,429,no,https://www.indiamart.com/,indiamart.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 429,2026-05-28T05:11:01.820Z,,,,,,,,,,,,,,,0,,
p2-008,44,313,P2,verify_directory_fit_before_any_approval,https://www.indiehacker.tools/,indiehacker.tools,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,medium,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found; evidence: directory/listing marketplace text signal found",,"no submit path, submit button, or form signal found",yes,review_row:313,200,yes,https://www.indiehacker.tools/,indiehacker.tools,0,0,no,no,yes,no,no,no,no,no,no,,2026-05-28T05:11:04.160Z,,,,,,,,,,,,,,,0,,
p2-008,45,314,P2,verify_directory_fit_before_any_approval,https://www.indiehustles.com/,indiehustles.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,medium,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found; evidence: directory/listing marketplace text signal found",,"no submit path, submit button, or form signal found",yes,review_row:314,200,yes,https://indiehustles.com/,indiehustles.com,0,0,no,no,yes,no,no,no,no,no,no,,2026-05-28T05:11:05.823Z,,,,,,,,,,,,,,,0,,
p2-008,46,316,P2,verify_directory_fit_before_any_approval,https://issuu.com/,issuu.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:316,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:11:10.226Z,,,,,,,,,,,,,,,0,,
p2-008,47,319,P2,verify_directory_fit_before_any_approval,https://www.jimdo.com/,jimdo.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:319,200,yes,https://www.jimdo.com/,jimdo.com,0,1,no,no,yes,yes,no,yes,no,yes,no,,2026-05-28T05:11:20.756Z,,,,,,,,,,,,,,,0,,
p2-008,48,324,P2,verify_directory_fit_before_any_approval,https://www.justia.com/,justia.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:324,403,no,https://www.justia.com/,justia.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T05:11:23.105Z,,,,,,,,,,,,,,,0,,
p2-008,49,325,P2,verify_directory_fit_before_any_approval,https://www.justlanded.com/,justlanded.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:325,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T05:11:25.163Z,,,,,,,,,,,,,,,0,,
