batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-004,301,330,P2,verify_directory_fit_before_any_approval,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:330,200,yes,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,1,3,yes,no,yes,no,no,yes,no,no,no,,2026-05-22T08:36:28.612Z
p2-004,312,348,P2,verify_directory_fit_before_any_approval,https://www.mae.gov.bi/en/vacancy-announcement,mae.gov.bi,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 9 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:348,200,yes,https://www.mae.gov.bi/en/vacancy-announcement/,mae.gov.bi,3,9,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:37:04.080Z
p2-004,313,349,P2,verify_directory_fit_before_any_approval,https://www.majalahsains.com/careers/employer/lawrence,majalahsains.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 5 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; HTTP 404",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:349,404,no,https://www.majalahsains.com/careers/employer/lawrence,majalahsains.com,5,5,yes,no,yes,no,no,yes,yes,no,no,HTTP 404,2026-05-22T08:37:07.864Z
p2-004,314,353,P2,verify_directory_fit_before_any_approval,https://www.makeupsavvy.co.uk/2019/12/best-budget-concealers-for-pale-skin-2019.html,makeupsavvy.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:353,200,yes,https://www.makeupsavvy.co.uk/2019/12/best-budget-concealers-for-pale-skin-2019.html,makeupsavvy.co.uk,1,1,no,no,yes,no,no,no,yes,no,no,,2026-05-22T08:37:15.260Z
p2-004,315,354,P2,verify_directory_fit_before_any_approval,https://www.mangoandsalt.com/2023/05/04/galgos-podencos-tout-savoir-adoption-levriers-despagne,mangoandsalt.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:354,200,yes,https://www.mangoandsalt.com/2023/05/04/galgos-podencos-tout-savoir-adoption-levriers-despagne/,mangoandsalt.com,2,12,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T08:37:17.087Z
p2-004,316,355,P2,verify_directory_fit_before_any_approval,https://www.mangoandsalt.com/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2,mangoandsalt.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:355,200,yes,https://www.mangoandsalt.com/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2/,mangoandsalt.com,2,12,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T08:37:20.541Z
p2-004,317,356,P2,verify_directory_fit_before_any_approval,https://www.manilashopper.com/2014/11/the-stoneware-pottery-shop-in-cagayan.html,manilashopper.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:356,200,yes,https://www.manilashopper.com/2014/11/the-stoneware-pottery-shop-in-cagayan.html,manilashopper.com,2,6,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T08:37:21.332Z
p2-004,318,359,P2,verify_directory_fit_before_any_approval,https://mastodon.social/@rstevens/112532171747034727,mastodon.social,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:359,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:37:24.023Z
p2-004,319,361,P2,verify_directory_fit_before_any_approval,https://metric-converter.net/,metric-converter.net,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:361,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:37:34.028Z
p2-004,320,362,P2,verify_directory_fit_before_any_approval,https://www.michaelgeist.ca/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications,michaelgeist.ca,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; HTTP 500,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:362,500,no,https://www.michaelgeist.ca/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications,michaelgeist.ca,0,0,no,no,no,no,no,yes,no,no,no,HTTP 500,2026-05-22T08:37:34.698Z
p2-004,321,367,P2,verify_directory_fit_before_any_approval,https://www.moonsoap.com/hpgen/HPB/entries/8.html,moonsoap.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:367,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:37:36.594Z
p2-004,322,368,P2,verify_directory_fit_before_any_approval,https://multichain.com/qa/user/parrotcatsup3,multichain.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: login/register signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; HTTP 404",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:368,404,no,https://multichain.com/qa/user/parrotcatsup3,multichain.com,1,2,yes,no,no,yes,no,no,no,no,no,HTTP 404,2026-05-22T08:37:46.610Z
p2-004,323,369,P2,verify_directory_fit_before_any_approval,https://mummyfever.co.uk/family-skiing-in-bulgaria,mummyfever.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:369,200,yes,https://mummyfever.co.uk/family-skiing-in-bulgaria/,mummyfever.co.uk,3,17,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:37:48.656Z
p2-004,324,370,P2,verify_directory_fit_before_any_approval,https://mummyfever.co.uk/the-best-youtube-home-workouts,mummyfever.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:370,200,yes,https://mummyfever.co.uk/the-best-youtube-home-workouts/,mummyfever.co.uk,3,17,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:37:54.775Z
p2-004,325,372,P2,verify_directory_fit_before_any_approval,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag,musthavemom.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:372,200,yes,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag/,musthavemom.com,3,6,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:37:59.043Z
p2-004,326,374,P2,verify_directory_fit_before_any_approval,https://myanimelist.net/profile/Akizuki_Airi,myanimelist.net,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:374,200,yes,https://myanimelist.net/profile/Akizuki_Airi,myanimelist.net,1,2,yes,no,yes,yes,no,yes,no,no,no,,2026-05-22T08:38:04.152Z
p2-004,327,375,P2,verify_directory_fit_before_any_approval,https://www.mycomics.de/profil/tedcrane.html,mycomics.de,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:375,200,yes,https://www.mycomics.de/profil/tedcrane.html,mycomics.de,2,7,yes,no,no,no,no,yes,no,no,no,,2026-05-22T08:38:05.686Z
p2-004,328,376,P2,verify_directory_fit_before_any_approval,https://mycoolapp.com/,mycoolapp.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 3 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; final domain changed to hugedomains.com",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:376,200,yes,https://www.hugedomains.com/domain_profile.cfm?d=mycoolapp.com,hugedomains.com,3,5,yes,no,no,no,no,yes,no,yes,no,,2026-05-22T08:38:07.455Z
p2-004,329,378,P2,verify_directory_fit_before_any_approval,https://mysite.com/,mysite.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:378,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:38:11.226Z
p2-004,330,379,P2,verify_directory_fit_before_any_approval,https://nasze-lasie-pl.sugester.pl/167783170-ChatGPT-in-Spain-Revolutionizing-Communication-and-AI-Interaction?order=popular&page=2,nasze-lasie-pl.sugester.pl,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:379,200,yes,https://nasze-lasie-pl.sugester.pl/?error=private_forum,nasze-lasie-pl.sugester.pl,1,19,yes,no,no,no,no,yes,no,no,no,,2026-05-22T08:38:15.473Z
p2-004,331,380,P2,verify_directory_fit_before_any_approval,https://nasze-lasie-pl.sugester.pl/18132-o-stronie-wiadomosci-na-glownej-itp?order=popular,nasze-lasie-pl.sugester.pl,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:380,200,yes,https://nasze-lasie-pl.sugester.pl/?error=private_forum,nasze-lasie-pl.sugester.pl,1,19,yes,no,no,no,no,yes,no,no,no,,2026-05-22T08:38:18.281Z
p2-004,332,381,P2,verify_directory_fit_before_any_approval,https://www.negociosyemprendimiento.org/2024/12/historia-temu.html?m=0,negociosyemprendimiento.org,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:381,200,yes,https://www.negociosyemprendimiento.org/2024/12/historia-temu.html?m=0,negociosyemprendimiento.org,1,1,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T08:38:18.914Z
p2-004,333,383,P2,verify_directory_fit_before_any_approval,https://www.netboard.hu/searchuser_full.php?id=139760,netboard.hu,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; 17 form(s), 44 input/select/textarea fields; submit/add/list/publish button text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:383,200,yes,https://www.netboard.hu/searchuser_full.php?id=139760,netboard.hu,17,44,yes,no,no,no,no,no,yes,no,no,,2026-05-22T08:38:20.336Z
p2-004,334,384,P2,verify_directory_fit_before_any_approval,https://new-site.com/,new-site.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:384,200,yes,https://new-site.com/,new-site.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-22T08:38:22.637Z
p2-004,335,389,P2,verify_directory_fit_before_any_approval,https://www.nintendoworldreport.com/forums/index.php?action=profile%3Bu%3D56540,nintendoworldreport.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 3 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:389,200,yes,https://www.nintendoworldreport.com/forums/index.php?action=profile%3Bu%3D56540,nintendoworldreport.com,3,14,yes,no,yes,yes,no,yes,no,no,no,,2026-05-22T08:38:23.414Z
p2-004,336,396,P2,verify_directory_fit_before_any_approval,https://nodejs.org/,nodejs.org,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:396,200,yes,https://nodejs.org/en,nodejs.org,0,1,no,no,yes,yes,no,yes,yes,no,no,,2026-05-22T08:38:25.661Z
p2-004,337,398,P2,verify_directory_fit_before_any_approval,https://notsowimpyteacher.com/2024/01/5-reasons-why-teaching-grammar-is-still-important.html,notsowimpyteacher.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:398,200,yes,https://notsowimpyteacher.com/2024/01/5-reasons-why-teaching-grammar-is-still-important.html,notsowimpyteacher.com,4,18,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:38:28.732Z
p2-004,338,400,P2,verify_directory_fit_before_any_approval,https://www.onesweetmess.com/2017/06/08/cherry-negroni,onesweetmess.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 6 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:400,200,yes,https://www.onesweetmess.com/2017/06/08/cherry-negroni,onesweetmess.com,6,24,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:38:34.230Z
p2-004,339,404,P2,verify_directory_fit_before_any_approval,https://openclaw.ai/,openclaw.ai,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; OAuth signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:404,200,yes,https://openclaw.ai/,openclaw.ai,1,2,yes,no,yes,no,yes,no,yes,yes,no,,2026-05-22T08:38:36.323Z
p2-004,340,408,P2,verify_directory_fit_before_any_approval,https://www.paleorunningmomma.com/garlic-tuscan-shrimp-paleo-whole30,paleorunningmomma.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:408,403,no,https://www.paleorunningmomma.com/garlic-tuscan-shrimp-paleo-whole30,paleorunningmomma.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:38:36.920Z
