batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-002,101,350,P2,verify_directory_fit_before_any_approval,https://www.make.com/en/partners,make.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:350,403,no,https://www.make.com/en/partners,make.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:36:28.265Z
p2-002,114,387,P2,verify_directory_fit_before_any_approval,https://www.newswiretoday.com/,newswiretoday.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:387,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:37:17.990Z
p2-002,115,394,P2,verify_directory_fit_before_any_approval,https://www.nocodefounders.com/,nocodefounders.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:394,200,yes,https://www.nocodefounders.com/,nocodefounders.com,2,7,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:37:19.718Z
p2-002,116,397,P2,verify_directory_fit_before_any_approval,https://www.notion.so/integrations,notion.so,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; directory/listing marketplace text signal found; final domain changed to notion.com,,login/register or OAuth signal found,yes,review_row:397,200,yes,https://www.notion.com/integrations,notion.com,0,0,no,no,yes,yes,yes,no,no,yes,no,,2026-05-22T08:37:21.778Z
p2-002,117,399,P2,verify_directory_fit_before_any_approval,https://noxilo.com/,noxilo.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:399,200,yes,https://noxilo.com/,noxilo.com,3,6,yes,no,yes,yes,no,yes,no,no,no,,2026-05-22T08:37:25.463Z
p2-002,118,401,P2,verify_directory_fit_before_any_approval,https://www.onlineprnews.com/,onlineprnews.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:401,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:37:28.293Z
p2-002,119,403,P2,verify_directory_fit_before_any_approval,https://open-launch.com/,open-launch.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:403,200,yes,https://open-launch.com/,open-launch.com,0,0,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:37:38.174Z
p2-002,120,405,P2,verify_directory_fit_before_any_approval,https://openclawdir.com/,openclawdir.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:405,200,yes,https://openclawdir.com/,openclawdir.com,1,1,yes,no,yes,yes,yes,yes,no,yes,no,,2026-05-22T08:37:40.160Z
p2-002,121,407,P2,verify_directory_fit_before_any_approval,https://www.openpr.com/,openpr.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 4 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:407,200,yes,https://www.openpr.com/,openpr.com,2,4,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:37:41.857Z
p2-002,122,411,P2,verify_directory_fit_before_any_approval,https://pastebin.com/,pastebin.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:411,200,yes,https://pastebin.com/,pastebin.com,2,16,yes,no,yes,yes,yes,yes,yes,no,no,,2026-05-22T08:37:44.281Z
p2-002,123,413,P2,verify_directory_fit_before_any_approval,https://www.patreon.com/,patreon.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:413,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:37:45.714Z
p2-002,124,414,P2,verify_directory_fit_before_any_approval,https://www.pearltrees.com/,pearltrees.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found",,login/register or OAuth signal found,yes,review_row:414,200,yes,https://www.pearltrees.com/,pearltrees.com,3,17,yes,no,no,yes,no,yes,yes,no,no,,2026-05-22T08:37:55.725Z
p2-002,125,416,P2,verify_directory_fit_before_any_approval,https://penzu.com/,penzu.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:416,200,yes,https://penzu.com/,penzu.com,0,1,no,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:37:57.037Z
p2-002,126,420,P2,verify_directory_fit_before_any_approval,https://pipedream.com/docs/components,pipedream.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:420,200,yes,https://pipedream.com/docs/components,pipedream.com,0,3,no,no,yes,yes,yes,yes,yes,yes,no,,2026-05-22T08:37:59.445Z
p2-002,127,424,P2,verify_directory_fit_before_any_approval,https://placester.com/,placester.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:424,403,no,https://placester.com/,placester.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-22T08:38:01.333Z
p2-002,128,426,P2,verify_directory_fit_before_any_approval,https://porch.com/,porch.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:426,403,no,https://porch.com/,porch.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-22T08:38:02.403Z
p2-002,129,428,P2,verify_directory_fit_before_any_approval,https://www.pr-free.com/,pr-free.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:428,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:38:03.884Z
p2-002,130,429,P2,verify_directory_fit_before_any_approval,https://www.pr.com/,pr.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:429,200,yes,https://www.pr.com/,pr.com,2,3,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:38:05.023Z
p2-002,131,434,P2,verify_directory_fit_before_any_approval,https://www.prlog.org/,prlog.org,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 3 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:434,200,yes,https://www.prlog.org/,prlog.org,3,5,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:38:06.965Z
p2-002,132,436,P2,verify_directory_fit_before_any_approval,https://profithunt.co/,profithunt.co,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:436,200,yes,https://profithunt.co/,profithunt.co,0,0,no,no,no,no,no,no,no,no,no,,2026-05-22T08:38:09.119Z
p2-002,133,440,P2,verify_directory_fit_before_any_approval,https://proofstories.io/,proofstories.io,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:440,200,yes,https://proofstories.io/,proofstories.io,0,0,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:38:10.559Z
p2-002,134,444,P2,verify_directory_fit_before_any_approval,https://www.quibblo.com/,quibblo.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 500; evidence: HTTP 500,,HTTP 500,yes,review_row:444,500,no,https://quibblo.com/,quibblo.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 500,2026-05-22T08:38:12.245Z
p2-002,135,455,P2,verify_directory_fit_before_any_approval,https://replit.com/,replit.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:455,200,yes,https://replit.com/,replit.com,0,5,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:38:16.059Z
p2-002,136,458,P2,verify_directory_fit_before_any_approval,https://www.rundown.ai/tools,rundown.ai,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:458,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:38:16.935Z
p2-002,137,466,P2,verify_directory_fit_before_any_approval,https://www.scoop.it/,scoop.it,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:466,200,yes,https://www.scoop.it/en/,scoop.it,0,0,no,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:38:26.948Z
p2-002,138,467,P2,verify_directory_fit_before_any_approval,https://www.scribd.com/,scribd.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:467,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:38:32.444Z
p2-002,139,469,P2,verify_directory_fit_before_any_approval,https://www.semfirms.com/,semfirms.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:469,200,yes,https://www.semfirms.com/,semfirms.com,2,5,yes,no,yes,yes,no,yes,yes,no,no,,2026-05-22T08:38:42.448Z
p2-002,140,471,P2,verify_directory_fit_before_any_approval,https://www.showmelocal.com/,showmelocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:471,200,yes,https://www.showmelocal.com/,showmelocal.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-22T08:38:44.266Z
p2-002,141,476,P2,verify_directory_fit_before_any_approval,https://www.sitepoint.com/community,sitepoint.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,medium,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found; evidence: directory/listing marketplace text signal found",,"no submit path, submit button, or form signal found",yes,review_row:476,200,yes,https://www.sitepoint.com/community/,sitepoint.com,0,0,no,no,yes,no,no,no,no,no,no,,2026-05-22T08:38:46.668Z
p2-002,142,482,P2,verify_directory_fit_before_any_approval,https://www.slant.co/,slant.co,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:482,200,yes,https://www.slant.co/,slant.co,3,3,yes,no,yes,no,no,yes,yes,no,no,,2026-05-22T08:38:49.663Z
p2-002,143,485,P2,verify_directory_fit_before_any_approval,https://www.slideshare.net/,slideshare.net,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:485,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:38:51.100Z
p2-002,144,490,P2,verify_directory_fit_before_any_approval,https://www.sooperarticles.com/,sooperarticles.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:490,403,no,https://sooperarticles.com/,sooperarticles.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:39:01.108Z
p2-002,145,491,P2,verify_directory_fit_before_any_approval,https://soundcloud.com/,soundcloud.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:491,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:39:03.812Z
p2-002,146,494,P2,verify_directory_fit_before_any_approval,https://www.spoke.com/,spoke.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:494,403,no,https://www.spoke.com/,spoke.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:39:13.817Z
p2-002,147,501,P2,verify_directory_fit_before_any_approval,https://startupfa.me/,startupfa.me,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,needs_manual_check,low,,manual_confirm_submit_form_and_blockers,submit URL/button signal found but evidence is incomplete; evidence: payment/pricing signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,submit URL/button signal found but evidence is incomplete,yes,review_row:501,200,yes,https://startupfa.me/,startupfa.me,0,0,yes,no,yes,no,no,no,no,yes,no,,2026-05-22T08:39:15.159Z
p2-002,148,502,P2,verify_directory_fit_before_any_approval,https://www.startups.com/,startups.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 429; evidence: directory/listing marketplace text signal found; HTTP 429,,HTTP 429,yes,review_row:502,429,no,https://www.startups.com/,startups.com,0,0,no,no,yes,no,no,no,no,no,no,HTTP 429,2026-05-22T08:39:19.252Z
p2-002,149,505,P2,verify_directory_fit_before_any_approval,https://startus.cc/,startus.cc,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:505,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:39:20.117Z
p2-002,150,507,P2,verify_directory_fit_before_any_approval,https://www.strava.com/,strava.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:507,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:39:23.974Z
