batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p0-009,1,75,P0,verify_distinct_submit_url_for_existing_domain,https://aiscout.net/submit,aiscout.net,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: URL path looks like a submission endpoint; This operation was aborted; same-domain variant must not use generic approved,,This operation was aborted,yes,review_row:75,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T04:06:12.151Z,,,,,,,,,,,,,,,0,,
p0-009,12,492,P0,verify_distinct_submit_url_for_existing_domain,https://sourceforge.net/user/register,sourceforge.net,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: HTTP 405; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:492,405,no,https://sourceforge.net/user/register,sourceforge.net,0,0,no,no,no,no,no,no,no,no,no,HTTP 405,2026-05-28T04:07:07.706Z,,,,,,,,,,,,,,,0,,
p0-009,13,497,P0,verify_distinct_submit_url_for_existing_domain,https://stackshare.io/new-product,stackshare.io,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 429; evidence: directory/listing marketplace text signal found; HTTP 429; same-domain variant must not use generic approved,,HTTP 429,yes,review_row:497,429,no,https://stackshare.io/new-product,stackshare.io,0,0,no,no,yes,no,no,no,no,no,no,HTTP 429,2026-05-28T04:07:10.099Z,,,,,,,,,,,,,,,0,,
p0-009,14,500,P0,verify_distinct_submit_url_for_existing_domain,https://startupbuffer.com/,startupbuffer.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; HTTP 403; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:500,403,no,https://startupbuffer.com/,startupbuffer.com,0,0,no,no,yes,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:07:11.635Z,,,,,,,,,,,,,,,0,,
p0-009,15,504,P0,verify_distinct_submit_url_for_existing_domain,https://startuptracker.io/,startuptracker.io,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:504,200,yes,https://startuptracker.io/,startuptracker.io,0,10,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T04:07:13.316Z,,,,,,,,,,,,,,,0,,
p0-009,16,521,P0,verify_distinct_submit_url_for_existing_domain,https://www.techpluto.com/,techpluto.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; CAPTCHA signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:521,200,yes,https://www.techpluto.com/,techpluto.com,3,6,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T04:07:15.077Z,,,,,,,,,,,,,,,0,,
p0-009,17,524,P0,verify_distinct_submit_url_for_existing_domain,https://www.theaigeneration.com/,theaigeneration.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: login/register signal found; CAPTCHA signal found; 9 form(s), 443 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:524,200,yes,https://www.theaigeneration.com/,theaigeneration.com,9,443,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T04:07:16.811Z,,,,,,,,,,,,,,,0,,
p0-009,18,535,P0,verify_distinct_submit_url_for_existing_domain,https://toolai.io/,toolai.io,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:535,200,yes,https://toolai.io/en/,toolai.io,1,7,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T04:07:20.277Z,,,,,,,,,,,,,,,0,,
p0-009,19,553,P0,verify_distinct_submit_url_for_existing_domain,https://www.webwiki.com/,webwiki.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:553,403,no,https://www.webwiki.com/,webwiki.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:07:21.896Z,,,,,,,,,,,,,,,0,,
p0-009,20,559,P0,verify_distinct_submit_url_for_existing_domain,https://whattheai.tech/,whattheai.tech,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:559,200,yes,https://whattheai.tech/,whattheai.tech,1,1,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T04:07:23.860Z,,,,,,,,,,,,,,,0,,
p0-009,21,285,P0,verify_distinct_submit_url_for_existing_domain,https://github.com/s87343472/backlink-pilot.git,github.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:285,200,yes,https://github.com/s87343472/backlink-pilot,github.com,3,11,yes,no,yes,yes,yes,yes,yes,yes,no,,2026-05-28T04:07:25.789Z,,,,,,,,,,,,,,,0,,
p0-009,22,284,P0,verify_distinct_submit_url_for_existing_domain,https://github.com/s87343472/backlink-pilot,github.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:284,200,yes,https://github.com/s87343472/backlink-pilot,github.com,3,11,yes,no,yes,yes,yes,yes,yes,yes,no,,2026-05-28T04:07:29.168Z,,,,,,,,,,,,,,,0,,
p0-009,23,281,P0,verify_distinct_submit_url_for_existing_domain,https://github.com/niciral/bb-browser,github.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 5 form(s), 27 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; HTTP 404; same-domain variant must not use generic approved",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:281,404,no,https://github.com/niciral/bb-browser,github.com,5,27,yes,no,yes,yes,no,yes,no,yes,no,HTTP 404,2026-05-28T04:07:29.652Z,,,,,,,,,,,,,,,0,,
p0-009,24,463,P0,verify_distinct_submit_url_for_existing_domain,https://www.saashub.com/new,saashub.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; HTTP 403; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:463,403,no,https://www.saashub.com/new,saashub.com,0,0,no,no,yes,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:07:30.345Z,,,,,,,,,,,,,,,0,,
p0-009,25,272,P0,verify_distinct_submit_url_for_existing_domain,https://www.g2.com/discussions/what-is-ultipro-system,g2.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: CAPTCHA signal found; HTTP 403; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:272,403,no,https://www.g2.com/discussions/what-is-ultipro-system,g2.com,0,0,no,no,no,no,no,yes,no,no,no,HTTP 403,2026-05-28T04:07:31.689Z,,,,,,,,,,,,,,,0,,
