queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy
18,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,assisted,https://mylaunchstash.com/,unknown,paid,mark_paid,high,,,,,,https://mylaunchstash.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
19,offpagesavvy,Offpagesavvy,offpagesavvy.com,assisted,https://www.offpagesavvy.com/submit-your-site,unknown,unknown,keep_unknown,low,,,,,,https://www.offpagesavvy.com/submit-your-site,yes,,no,unknown,unknown,unknown,unknown,unknown,fetch did not succeed: This operation was aborted,pricing_decision_draft_no_registry_write_no_submission
20,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,https://poweruptools.com/,unknown,paid,mark_paid,high,,,,,,https://poweruptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
21,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,https://productlistdir.com/,unknown,paid,mark_paid,high,,,,,,https://productlistdir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
22,productwing-com,https://productwing.com/,productwing.com,assisted,https://productwing.com/,unknown,paid,mark_paid,high,,,,,,https://productwing.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
23,saasfield-com,https://saasfield.com/,saasfield.com,assisted,https://saasfield.com/,unknown,paid,mark_paid,high,,,,,,https://saasfield.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
24,saashubdirectory-com,https://saashubdirectory.com,saashubdirectory.com,assisted,https://saashubdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://saashubdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
25,saasroots-com,https://saasroots.com/,saasroots.com,assisted,https://saasroots.com/,unknown,paid,mark_paid,high,,,,,,https://saasroots.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
26,smartkithub-com,https://smartkithub.com,smartkithub.com,assisted,https://smartkithub.com/,unknown,paid,mark_paid,high,,,,,,https://smartkithub.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
27,softwarebolt-com,访问官网,softwarebolt.com,assisted,https://softwarebolt.com/,unknown,paid,mark_paid,high,,,,,,https://softwarebolt.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
28,solvertools-com,🔗 访问我们的网站,solvertools.com,assisted,https://solvertools.com/,unknown,paid,mark_paid,high,,,,,,https://solvertools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
29,sonic-run,Sonic Run,sonicrun.com,assisted,https://www.sonicrun.com/freelisting.html,unknown,free,mark_free,high,,,,,,https://www.sonicrun.com/freelisting.html,yes,200,yes,no,yes,no,no,no,free submission/listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
30,sourcedir-com,https://sourcedir.com/,sourcedir.com,assisted,https://sourcedir.com/,unknown,paid,mark_paid,high,,,,,,https://sourcedir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
31,stackdirectory-com,https://stackdirectory.com/,stackdirectory.com,assisted,https://stackdirectory.com/,unknown,paid,mark_paid,high,,,,,,https://stackdirectory.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
32,startupvessel-com,https://startupvessel.com/,startupvessel.com,assisted,https://startupvessel.com/,unknown,paid,mark_paid,high,,,,,,https://startupvessel.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
33,theapptools-com,https://theapptools.com/,theapptools.com,assisted,https://theapptools.com/,unknown,paid,mark_paid,high,,,,,,https://theapptools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
34,thecoretools-com,https://thecoretools.com,thecoretools.com,assisted,https://thecoretools.com/,unknown,paid,mark_paid,high,,,,,,https://thecoretools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
35,tinytoolhub-com,https://tinytoolhub.com,tinytoolhub.com,assisted,https://tinytoolhub.com/,unknown,paid,mark_paid,high,,,,,,https://tinytoolhub.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
36,toolcosmos-com,https://toolcosmos.com,toolcosmos.com,assisted,https://toolcosmos.com/,unknown,paid,mark_paid,high,,,,,,https://toolcosmos.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
37,toolfinddir-com,https://toolfinddir.com,toolfinddir.com,assisted,https://toolfinddir.com/,unknown,paid,mark_paid,high,,,,,,https://toolfinddir.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
38,toolsignal-com,https://toolsignal.com/,toolsignal.com,assisted,https://toolsignal.com/,unknown,paid,mark_paid,high,,,,,,https://toolsignal.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
39,toolslisthq-com,https://toolslisthq.com,toolslisthq.com,assisted,https://toolslisthq.com/,unknown,paid,mark_paid,high,,,,,,https://toolslisthq.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
40,toolsunderradar-com,https://toolsunderradar.com,toolsunderradar.com,assisted,https://toolsunderradar.com/,unknown,paid,mark_paid,high,,,,,,https://toolsunderradar.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
41,top-best-alternatives,Top Best Alternatives,topbestalternatives.com,assisted,https://www.topbestalternatives.com/,unknown,freemium,mark_freemium,medium,,,,,,https://www.topbestalternatives.com/,yes,200,yes,no,no,yes,no,no,free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
42,toptrendtools-com,https://toptrendtools.com/,toptrendtools.com,assisted,https://toptrendtools.com/,unknown,paid,mark_paid,high,,,,,,https://toptrendtools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
43,toshilist-com,https://toshilist.com,toshilist.com,assisted,https://toshilist.com/,unknown,paid,mark_paid,high,,,,,,https://toshilist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
44,trustiner-com,https://trustiner.com,trustiner.com,assisted,https://trustiner.com/,unknown,freemium,mark_freemium,medium,,,,,,https://trustiner.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
45,websitehunt,WebsiteHunt,websitehunt.co,assisted,https://www.websitehunt.co/,unknown,freemium,mark_freemium,medium,,,,,,https://www.websitehunt.co/,yes,200,yes,no,no,yes,no,no,auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
46,weliketools-com,https://weliketools.com,weliketools.com,assisted,https://weliketools.com/,unknown,paid,mark_paid,high,,,,,,https://weliketools.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
47,xinquji-com,新趣集,xinquji.com,assisted,https://xinquji.com/,unknown,unknown,needs_manual_check,low,,,,,,https://xinquji.com/,yes,200,yes,no,no,no,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
48,aitechviral-com,https://aitechviral.com,aitechviral.com,assisted,https://aitechviral.com/,unknown,paid,mark_paid,high,,,,,,https://aitechviral.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
49,aitoptools,AITopTools,aitoptools.com,assisted,https://aitoptools.com/login?redirect_to=submit,unknown,unknown,keep_unknown,low,,,,,,https://aitoptools.com/login?redirect_to=submit,yes,,no,unknown,unknown,unknown,unknown,unknown,fetch did not succeed: This operation was aborted,pricing_decision_draft_no_registry_write_no_submission
50,alternativeto,AlternativeTo,alternativeto.net,assisted,https://alternativeto.net/faq,unknown,unknown,keep_unknown,low,,,,,,https://alternativeto.net/faq,yes,403,no,no,no,no,no,yes,fetch did not succeed,pricing_decision_draft_no_registry_write_no_submission
51,betalist,Betalist,betalist.com,assisted,https://betalist.com/users/sign_in,unknown,unknown,keep_unknown,low,,,,,,https://betalist.com/users/sign_in,yes,404,no,no,no,no,no,no,fetch did not succeed,pricing_decision_draft_no_registry_write_no_submission
52,broadwise-org,Broadwise.org,broadwise.org,assisted,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,unknown,freemium,mark_freemium,low,,,,,,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,yes,200,yes,no,no,yes,no,no,free plus premium/sponsored signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
53,dev-to,dev.to,dev.to,assisted,https://dev.to/,unknown,paid,mark_paid,high,,,,,,https://dev.to/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
54,dev-hunt,Dev Hunt,devhunt.org,assisted,https://devhunt.org/,unknown,unknown,keep_unknown,low,,,,,,https://devhunt.org/,yes,200,yes,no,no,no,no,no,no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
55,dizkaz-com,笛卡,dizkaz.com,assisted,https://dizkaz.com/,unknown,unknown,keep_unknown,low,,,,,,https://dizkaz.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
56,free-ai-tool,Free AI Tool,freeaitool.ai,assisted,https://freeaitool.ai/submit,unknown,unknown,keep_unknown,low,,,,,,https://freeaitool.ai/submit,yes,200,yes,no,no,no,no,no,submit surface signal found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
57,gainweb-org,GainWeb.org,gainweb.org,assisted,https://gainweb.org/,unknown,unknown,keep_unknown,low,,,,,,https://gainweb.org/,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
58,hackernoon,HackerNoon,hackernoon.com,assisted,https://hackernoon.com/,unknown,paid,mark_paid,medium,,,,,,https://hackernoon.com/,yes,200,yes,yes,no,no,no,no,payment or paid-listing signal found,pricing_decision_draft_no_registry_write_no_submission
59,hashnode,Hashnode,hashnode.com,assisted,https://hashnode.com/discussions,unknown,unknown,keep_unknown,low,,,,,,https://hashnode.com/discussions,yes,200,yes,no,no,no,no,no,auth/login signal found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
60,hellogithub,HelloGitHub,hellogithub.com,assisted,https://hellogithub.com/,unknown,unknown,keep_unknown,low,,,,,,https://hellogithub.com/,yes,200,yes,no,no,no,no,no,auth/login signal found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
61,indie-hackers-guide-pages-dev-id,https://indie-hackers-guide.pages.dev/#/?id=🌐强烈推荐审核容易且能获得高质量的外链,indie-hackers-guide.pages.dev,assisted,https://indie-hackers-guide.pages.dev/,unknown,unknown,keep_unknown,low,,,,,,https://indie-hackers-guide.pages.dev/,yes,200,yes,no,no,no,no,no,no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
62,juejin-cn,掘金,juejin.cn,assisted,https://juejin.cn/,unknown,unknown,keep_unknown,low,,,,,,https://juejin.cn/,yes,200,yes,no,no,no,no,no,auth/login signal found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
63,latestaiupdates-com,https://latestaiupdates.com,latestaiupdates.com,assisted,https://latestaiupdates.com/,unknown,paid,mark_paid,high,,,,,,https://latestaiupdates.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
64,makerpeak,MakerPeak,makerpeak.com,assisted,https://makerpeak.com/sign-up?redirect=%2Fprofile%2Fproducts%2Fsubmit,unknown,unknown,keep_unknown,low,,,,,,https://makerpeak.com/sign-up?redirect=%2Fprofile%2Fproducts%2Fsubmit,yes,,no,unknown,unknown,unknown,unknown,unknown,fetch did not succeed: fetch failed,pricing_decision_draft_no_registry_write_no_submission
65,openfuture-ai,OpenFuture AI,openfuture.ai,assisted,https://openfuture.ai/zh/submit-tool,unknown,unknown,keep_unknown,low,,,,,,https://openfuture.ai/zh/submit-tool,yes,403,no,no,no,no,no,yes,fetch did not succeed,pricing_decision_draft_no_registry_write_no_submission
66,www-ruanyifeng-com,https://www.ruanyifeng.com,ruanyifeng.com,assisted,https://www.ruanyifeng.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.ruanyifeng.com/,yes,200,yes,no,no,no,no,no,no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
67,saaswheel-com,https://saaswheel.com,saaswheel.com,assisted,https://saaswheel.com/,unknown,paid,mark_paid,high,,,,,,https://saaswheel.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
68,startupaideas-com,https://startupaideas.com,startupaideas.com,assisted,https://startupaideas.com/,unknown,paid,mark_paid,high,,,,,,https://startupaideas.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
69,submission-web-directory,Submission Web Directory,submissionwebdirectory.com,assisted,https://www.submissionwebdirectory.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.submissionwebdirectory.com/,yes,403,no,no,no,no,no,yes,fetch did not succeed,pricing_decision_draft_no_registry_write_no_submission
70,submitdirs-com,https://submitdirs.com,submitdirs.com,assisted,https://submitdirs.com/,unknown,freemium,mark_freemium,medium,,,,,,https://submitdirs.com/,yes,200,yes,yes,no,yes,no,no,auth/login signal found; payment or paid-listing signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
71,superaiboom-com,https://superaiboom.com/,superaiboom.com,assisted,https://superaiboom.com/,unknown,paid,mark_paid,high,,,,,,https://superaiboom.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
72,v2ex,V2EX,v2ex.com,assisted,https://www.v2ex.com/go/create,unknown,unknown,keep_unknown,low,,,,,,https://www.v2ex.com/go/create,yes,,no,unknown,unknown,unknown,unknown,unknown,fetch did not succeed: This operation was aborted,pricing_decision_draft_no_registry_write_no_submission
73,w2solo,W2solo,w2solo.com,assisted,https://w2solo.com/topics/newproduct,unknown,unknown,keep_unknown,low,,,,,,https://w2solo.com/topics/newproduct,yes,200,yes,no,no,no,no,no,auth/login signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
74,web-okjike-com,即刻,web.okjike.com,assisted,https://web.okjike.com/,unknown,unknown,keep_unknown,low,,,,,,https://web.okjike.com/,yes,200,yes,no,no,no,no,no,no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
75,wechalet-cn,小木屋,wechalet.cn,assisted,https://wechalet.cn/appstore/add,unknown,unknown,keep_unknown,low,,,,,,https://wechalet.cn/appstore/add,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
