queue_order,target_id,name,domain,mode,submit_url,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,free_signal,freemium_signal,pricing_page_signal,pricing_page_links,suggested_pricing_signal,evidence_notes,fetch_error,checked_at
29,toolfinddir-com,https://toolfinddir.com,toolfinddir.com,assisted,https://toolfinddir.com/,200,yes,https://toolfinddir.com/,toolfinddir.com,no,text/html,"Find AI Tools by Category, Pricing, and Workflow Need - Tool Find Dir (2026)",2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://toolfinddir.com/get-started | https://toolfinddir.com/pricing/free | https://toolfinddir.com/ai/checkoutreceipt | https://www.checkoutreceipt.com/,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
30,toolsignal-com,https://toolsignal.com/,toolsignal.com,assisted,https://toolsignal.com/,200,yes,https://toolsignal.com/,toolsignal.com,no,text/html,High-Signal Software Tools for Teams and Workflows - Tool Signal (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://toolsignal.com/get-started | https://toolsignal.com/pricing/free | https://toolsignal.com/tool/checkoutreceipt | https://www.checkoutreceipt.com/,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
31,toolslisthq-com,https://toolslisthq.com,toolslisthq.com,assisted,https://toolslisthq.com/,200,yes,https://toolslisthq.com/,toolslisthq.com,no,text/html,"Compare Software Tools by Category, Workflow, and Pricing - Tools List HQ (2026)",2,2,yes,yes,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://toolslisthq.com/ | https://toolslisthq.com/latest | https://toolslisthq.com/explore | https://toolslisthq.com/get-started,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-27T10:29:12.634Z
32,toolsunderradar-com,https://toolsunderradar.com,toolsunderradar.com,assisted,https://toolsunderradar.com/,200,yes,https://toolsunderradar.com/,toolsunderradar.com,no,text/html,Underrated Software Tools and Hidden Gems Worth Trying - Tools Under Radar (2026),3,3,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://toolsunderradar.com/get-started | https://toolsunderradar.com/pricing/free | https://toolsunderradar.com/tool/checkoutreceipt | https://www.checkoutreceipt.com/,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
33,toptrendtools-com,https://toptrendtools.com/,toptrendtools.com,assisted,https://toptrendtools.com/,200,yes,https://toptrendtools.com/,toptrendtools.com,no,text/html,Trending Software Tools Across Work and Productivity - Top Trend Tools (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://toptrendtools.com/get-started | https://toptrendtools.com/pricing/free | https://toptrendtools.com/tool/checkoutreceipt | https://www.checkoutreceipt.com/,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
34,toshilist-com,https://toshilist.com,toshilist.com,assisted,https://toshilist.com/,200,yes,https://toshilist.com/,toshilist.com,no,text/html,Cleanly Curated Software Products for Everyday Discovery - Toshi List (2026),3,3,yes,yes,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://toshilist.com/ | https://toshilist.com/latest | https://toshilist.com/explore | https://toshilist.com/get-started,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-27T10:29:12.634Z
35,trustiner-com,https://trustiner.com,trustiner.com,assisted,https://trustiner.com/,200,yes,https://trustiner.com/,trustiner.com,no,text/html,"Trusted Software Products for Work, Teams, and Operations - Trustiner (2026)",3,3,yes,no,yes,yes,no,no,no,yes,no,yes,yes,https://trustiner.com/get-started | https://submitsaas.com/ | https://trustiner.com/pricing/free | https://trustiner.com/product/checkoutreceipt | https://www.checkoutreceipt.com/,freemium,paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
36,weliketools-com,https://weliketools.com,weliketools.com,assisted,https://weliketools.com/,200,yes,https://weliketools.com/,weliketools.com,no,text/html,Recommended Software Tools Worth Serious Consideration - We Like Tools (2026),3,3,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://weliketools.com/get-started | https://submitsaas.com/ | https://weliketools.com/pricing/free | https://weliketools.com/tool/checkoutreceipt | https://www.checkoutreceipt.com/,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
37,xinquji-com,新趣集,xinquji.com,assisted,https://xinquji.com/,200,yes,https://xinquji.com/,xinquji.com,no,text/html; charset=utf-8,新趣集 - 一起发现有趣的新产品,1,1,yes,no,yes,yes,no,yes,no,yes,no,no,yes,https://xinquji.com/submit,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found; CAPTCHA/Cloudflare signal found,,2026-05-27T10:29:12.634Z
38,aitoptools,AITopTools,aitoptools.com,assisted,https://aitoptools.com/login?redirect_to=submit,200,yes,https://aitoptools.com/login?redirect_to=submit,aitoptools.com,no,text/html; charset=UTF-8,Login | AITopTools,3,5,yes,yes,yes,yes,yes,no,no,no,no,no,yes,https://aitoptools.com/login?redirect_to=submit | https://aitoptools.com/wp-login.php?loginSocial=google&#038;redirect=submit,unknown,pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-27T10:29:12.634Z
39,broadwise-org,Broadwise.org,broadwise.org,assisted,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,200,yes,https://broadwise.org/t/how-to-promote-your-startup-on-broadwise-org/125,broadwise.org,no,text/html; charset=utf-8,How to promote your startup on Broadwise.org - 😁 Meta - Broadwise.org,0,0,no,no,yes,no,no,no,no,no,no,yes,yes,https://https//osssoftware.org/?ref=broadwise | https://listingbott.com/?ref=broadwise,freemium,free plus premium/sponsored signal found; pricing/plan link or text found,,2026-05-27T10:29:12.634Z
40,dizkaz-com,笛卡,dizkaz.com,assisted,https://dizkaz.com/,200,yes,https://dizkaz.com/,dizkaz.com,no,text/html; charset=utf-8,笛卡,0,0,no,no,no,no,no,no,no,no,no,no,yes,https://dizkaz.com/#article-list-head | https://dizkaz.com/?sort=list_hot | https://lists.gnupg.org/pipermail/gnupg-announce/2026q2/000504.html,unknown,pricing/plan link or text found,,2026-05-27T10:29:12.634Z
41,gainweb-org,GainWeb.org,gainweb.org,assisted,https://gainweb.org/,200,yes,https://gainweb.org/,gainweb.org,no,text/html; charset=utf-8,Gain Web | Link Directory,2,6,yes,no,yes,yes,no,no,no,no,no,no,yes,https://gainweb.org/submit.php,unknown,pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
42,openfuture-ai,OpenFuture AI,openfuture.ai,assisted,https://openfuture.ai/zh/submit-tool,200,yes,https://openfuture.ai/zh/submit-tool,openfuture.ai,no,text/html; charset=utf-8,提交工具 | OpenFuture,0,0,yes,yes,yes,yes,no,no,no,no,no,no,yes,https://openfuture.ai/submit-tool.html | https://openfuture.ai/submit-news.html | https://openfuture.ai/zh/?tab=all&sort=new-added | https://openfuture.ai/zh/?tab=new_added&sort=recommended | https://openfuture.ai/submit-tool,unknown,pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-27T10:29:12.634Z
43,www-ruanyifeng-com,https://www.ruanyifeng.com,ruanyifeng.com,assisted,https://www.ruanyifeng.com/,200,yes,https://www.ruanyifeng.com/,ruanyifeng.com,no,text/html,阮一峰的个人网站 - Ruan YiFeng's Personal Website,0,0,no,no,no,no,no,no,no,no,no,no,no,,unknown,,,2026-05-27T10:29:12.634Z
44,wechalet-cn,小木屋,wechalet.cn,assisted,https://wechalet.cn/appstore/add,200,yes,https://wechalet.cn/appstore/add,wechalet.cn,no,text/html; charset=utf-8,发布网站-小木屋网站导航_发现更美的世界,0,5,yes,no,yes,no,no,no,no,no,no,no,yes,https://wechalet.cn/en/appstore/add | https://wechalet.cn/appstore/add | https://wechalet.cn/appstore/user-submit,unknown,pricing/plan link or text found; submit/add/list button signal found,,2026-05-27T10:29:12.634Z
